,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K00002,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
K00005,gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00009,mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00029,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
K00041,uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
K00045,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"
K00046,idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048,fucO; lactaldehyde reductase [EC:1.1.1.77]
K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00054,mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
K00065,kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00068,srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00073,allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00076,hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"
K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
K00090,ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091,E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00094,"E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]"
K00098,idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00100,bdhAB; butanol dehydrogenase [EC:1.1.1.-]
K00101,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"
K00105,E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00108,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
K00112,glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113,glpC; glycerol-3-phosphate dehydrogenase subunit C
K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117,gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma"
K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00130,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137,prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00145,argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146,feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00150,gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
K00156,poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00158,"E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]"
K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
K00170,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00174,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
K00175,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
K00176,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
K00183,"K00183; prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit"
K00184,"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"
K00187,"vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]"
K00194,"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]"
K00196,cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197,"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]"
K00198,"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
K00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
K00215,dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216,"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
K00219,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
K00228,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
K00230,hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231,"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]"
K00239,"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
K00242,"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
K00245,frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246,frdC; fumarate reductase subunit C
K00247,frdD; fumarate reductase subunit D
K00252,"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]"
K00254,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
K00261,"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
