,CHEM_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,CHRO_LIB_ENTRY_ID,COMP_ID,LIB_ID,PLATFORM
S-1-pyrroline-5-carboxylate,35,Amino Acid,Glutamate Metabolism,64.0,NAMED,DWAKNKKXGALPNW-UHFFFAOYSA-N,OC(C1CCC=N1)=O,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,2906-39-0,10140206.0,HMDB0001301,C04322,11966181.0,166164,42370,400,Pos Early
spermidine,50,Amino Acid,Polyamine Metabolism,553.0,NAMED,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,spermidine,spermidine,124-20-9,1071.0,HMDB0001257,C00315,1102.0,155305,485,400,Pos Early
1-methylnicotinamide,55,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4335.0,NAMED,LDHMAVIPBRSVRG-UHFFFAOYSA-N,C[N+]1=CC(C([NH-])=O)=CC=C1,1-methylnicotinamide,1-methylnicotinamide,1005-24-9,8305504.0,HMDB0000699,C02918,457.0,155829,27665,400,Pos Early
alpha-ketoglutarate,93,Energy,TCA Cycle,1462.0,NAMED,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,alpha-ketoglutarate,"328-50-7,22202-68-2,305-72-6",50.0,HMDB0000208,C00026,51.0,146398,528,305,Polar
kynurenate,98,Amino Acid,Tryptophan Metabolism,277.0,NAMED,HCZHHEIFKROPDY-UHFFFAOYSA-N,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,kynurenate,492-27-3,3712.0,HMDB0000715,C01717,3845.0,124553,1417,209,Neg
3-hydroxy-3-methylglutarate,112,Lipid,Mevalonate Metabolism,3194.0,NAMED,NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(CC(O)=O)(CC(O)=O)O,3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,503-49-1,4573695.0,HMDB0000355,C03761,16625459993.0,146400,531,305,Polar
cholate,136,Lipid,Primary Bile Acid Metabolism,3472.0,NAMED,BHQCQFFYRZLCQQ-OLRQUHAPSA-N,O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1,cholate,cholate,81-25-4,,HMDB0000619,C00695,221493.0,124689,22842,209,Neg
"5,6-dihydrothymine",158,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4299.0,NAMED,NBAKTGXDIBVZOO-UHFFFAOYSA-N,O=C(NCC1C)NC1=O,"5,6-dihydrothymine","5,6-dihydrothymine",696-04-8,84456.0,HMDB0000079,C00906,93556.0,123205,1418,209,Neg
"9,10-DiHOME",179,Lipid,"Fatty Acid, Dihydroxy",2048.0,NAMED,XEBKSQSGNGRGDW-YFHOEESVSA-N,CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O,"9,10-DiHOME","9,10-DiHOME",263399-34-4,8142232.0,HMDB0004704,C14828,9966640.0,143740,38399,209,Neg
linoleate (18:2n6),180,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1584.0,NAMED,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,linoleate (18:2n6),linoleate (18:2n6),60-33-3,4444105.0,"HMDB0006270,HMDB0000673",C01595,5280450.0,125969,1105,209,Neg
laurate (12:0),181,Lipid,Medium Chain Fatty Acid,1519.0,NAMED,POULHZVOKOAJMA-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCC,laurate (12:0),laurate (12:0),143-07-7,3756.0,HMDB0000638,C02679,3893.0,125740,1645,209,Neg
quinolinate,182,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4319.0,NAMED,GJAWHXHKYYXBSV-UHFFFAOYSA-N,OC(C(C=CC=N1)=C1C(O)=O)=O,quinolinate,quinolinate,89-00-9,1037.0,HMDB0000232,C03722,1066.0,155456,1899,400,Pos Early
"N6,N6,N6-trimethyllysine",189,Amino Acid,Lysine Metabolism,118.0,NAMED,MXNRLFUSFKVQSK-UHFFFAOYSA-N,C[N+](C)(CCCCC(C([O-])=O)N)C,"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",23284-33-5,140379.0,HMDB0001325,C03793,440120.0,155380,1498,400,Pos Early
N-acetylputrescine,192,Amino Acid,Polyamine Metabolism,546.0,NAMED,KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(NCCCCN)=O,N-acetylputrescine,N-acetylputrescine,18233-70-0,109095.0,HMDB0002064,C02714,122356.0,156406,37496,400,Pos Early
N-formylmethionine,194,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",443.0,NAMED,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,CSCCC(C(O)=O)NC=O,N-formylmethionine,N-formylmethionine,4289-98-9,388809.0,HMDB0001015,C03145,439750.0,124831,2829,209,Neg
adenosine 5'-monophosphate (AMP),209,Nucleotide,"Purine Metabolism, Adenine containing",4158.0,NAMED,UDMBCSSLTHHNCD-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,adenosine 5'-monophosphate (AMP),AMP,149022-20-8,10239183.0,HMDB0000045,C00020,6083.0,155907,32342,400,Pos Early
5-methylthioadenosine (MTA),212,Amino Acid,Polyamine Metabolism,564.0,NAMED,WUUGFSXJNOTRMR-IOSLPCCCSA-N,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,5-methylthioadenosine (MTA),5-methylthioadenosine (MTA),2457-80-9,388321.0,HMDB0001173,C00170,439176.0,155365,1419,400,Pos Early
arachidonate (20:4n6),229,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1590.0,NAMED,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,arachidonate (20:4n6),arachidonate (20:4n6),506-32-1,392692.0,HMDB0001043,C00219,444899.0,125971,1110,209,Neg
arginine,231,Amino Acid,Urea cycle; Arginine and Proline Metabolism,490.0,NAMED,ODKSFYDXXFIFQN-UHFFFAOYSA-N,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,1119-34-2,227.0,HMDB0000517,C00062,6322.0,155435,1638,400,Pos Early
aspartate,234,Amino Acid,Alanine and Aspartate Metabolism,36.0,NAMED,CKLJMWTZIZZHCS-UHFFFAOYSA-N,NC(C(O)=O)CC(O)=O,aspartate,aspartate,56-84-8,5745.0,HMDB0000191,C00049,5960.0,155304,443,400,Pos Early
3-(4-hydroxyphenyl)lactate,240,Amino Acid,Tyrosine Metabolism,186.0,NAMED,JVGVDSSUAVXRDY-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=C(O)C=C1,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate (HPLA),6482-98-0,9010.0,HMDB0000755,C03672,9378.0,123321,32197,209,Neg
phenylpyruvate,241,Amino Acid,Phenylalanine Metabolism,155.0,NAMED,BTNMPGBKDVTSJY-UHFFFAOYSA-N,O=C(C(O)=O)CC1=CC=CC=C1,phenylpyruvate,phenylpyruvate,156-06-9,972.0,HMDB0000205,C00166,997.0,124529,566,209,Neg
beta-alanine,244,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4258.0,NAMED,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(O)=O,beta-alanine,beta-alanine,"107-95-9,56-41-7",234.0,HMDB0000056,C00099,239.0,155295,55,400,Pos Early
biliverdin,250,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4431.0,NAMED,QBUVFDKTZJNUPP-YBRAVLHJSA-N,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,biliverdin,biliverdin,"55482-27-4,55482-27-4",10628548.0,HMDB0001008,C00500,5280353.0,158009,2137,402,Pos Late
succinate,252,Energy,TCA Cycle,1465.0,NAMED,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(CCC(O)=O)=O,succinate,succinate,110-15-6,1078.0,HMDB0000254,C00042,1110.0,147106,1437,305,Polar
3-hydroxybutyrate (BHBA),254,Lipid,Ketone Bodies,1955.0,NAMED,WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(O)CC(O)=O,3-hydroxybutyrate (BHBA),3-hydroxybutyrate (BHBA),625-72-9,428.0,"HMDB0000442,HMDB0000357,HMDB0000011","C03197,C01089",9431844192135.0,155316,542,400,Pos Early
cholesterol,266,Lipid,Sterol,3211.0,NAMED,HVYWMOMLDIMFJA-LBHVWCRMSA-N,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,cholesterol,cholesterol,57-88-5,4937803.0,HMDB0000067,C00187,5.99764325641102e+18,164177,63,402,Pos Late
choline phosphate,267,Lipid,Phospholipid Metabolism,2250.0,NAMED,YHHSONZFOIEMCP-UHFFFAOYSA-N,C[N+](C)(CCOP(O)([O-])=O)C,choline phosphate,phosphocholine,72556-74-2,119298.0,HMDB0001565,C00588,1014.0,156099,34396,400,Pos Early
cortisone,273,Lipid,Corticosteroids,3334.0,NAMED,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O,cortisone,cortisone,53-06-5,361685.0,HMDB0002802,C00762,222786.0,124819,1769,209,Neg
creatinine,275,Amino Acid,Creatine Metabolism,537.0,NAMED,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN(C(N1)=N)CC1=O,creatinine,creatinine,60-27-5,568.0,HMDB0000562,C00791,588.0,155307,513,400,Pos Early
cysteinylglycine,278,Amino Acid,Glutathione Metabolism,584.0,NAMED,ZUKPVRWZDMRIEO-UHFFFAOYSA-N,NC(C(NCC(O)=O)=O)CS,cysteinylglycine,cysteinylglycine,19246-18-5,58762.0,HMDB0000078,C01419,439498.0,156206,35637,400,Pos Early
cystine,279,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",468.0,NAMED,LEVWYRKDKASIDU-UHFFFAOYSA-N,NC(C(O)=O)CSSCC(N)C(O)=O,cystine,cystine,56-89-3,575.0,HMDB0000192,C00491,67678.0,165241,56,305,Polar
sphingosine,297,Lipid,Sphingosines,3178.0,NAMED,WWUZIQQURGPMPG-CCEZHUSRSA-N,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,sphingosine,sphingosine,123-78-4,4510275.0,HMDB0000252,C00319,5280335.0,158164,17747,402,Pos Late
sphinganine,313,Lipid,Sphingolipid Synthesis,3018.0,NAMED,OTKJDMGTUTTYMP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(C(CO)N)O,sphinganine,sphinganine,3102-56-5,3014.0,HMDB0000269,C00836,3126.0,158166,17769,402,Pos Late
