,"Cholesterol, Total",HDL Cholesterol,Triglycerides,LDL-Cholesterol,Chol/HDLC Ratio,Non HDL Cholesterol,Glucose,Urea Nitrogen (BUN),Creatinine,eGFR non-African American,eGFR African American,Sodium,Potassium,Chloride,Carbon Dioxide,Calcium,"Protein, Total",Albumin,Globulin,Albumin/Globulin Ratio,"Bilirubin, Total",Alkaline Phosphatase,AST,ALT,TSH,Sed Rate,White Blood Cell Count,Red Blood Cell Count,Hemoglobin,Hemocrit,MCV,MCH,MCHC,RDW,Platelet Count,MPV,Absolute Neutrophils,Absolute Lymphocytes,Absolute Monocytes,Absolute Eosinophils,Absolute Basophils,Neutrophils,Lymphocytes,Eosinophils,Monocytes,Basophils,Vitamin B12,C-Reactive Protein
RAND36.Physical Functioning,0.5756298023282597,0.38145030323463236,0.14016436521417797,0.09149533748053396,0.031257574426349154,1.0000000000000002,0.11272217176122448,0.6361916294919238,0.20212191567493856,0.08073919172518171,0.35112062847358944,0.026755274569053557,0.022097160816176416,0.039691693011917974,0.18176910414018807,0.29348418117890096,0.13530225906216864,0.16746792166885405,0.01008195981054582,0.2772035733194,0.05090275938599303,0.11997507235457061,0.08752812149164335,0.5043803854008128,0.0,0.06840556089292041,0.16797511626921938,0.21135116392757622,0.24325860090275,0.17760914938648026,0.0770631524142826,0.0661012139383747,0.020551194492298856,0.07725816122708046,0.27215878189415055,0.04201187134294566,0.24177992785234556,0.3553772975034206,0.3272724669927332,0.06551981885963326,0.23290937268013032,0.9692178006284858,0.7413429948626524,0.27860910613889794,0.018976294776771867,0.051856277253684434,0.16682447522555363,0.06576290196666901
RAND36.Role Limitations due to Physical Health,0.660811014859785,0.2906655628100935,0.15154343407211868,0.11725651986910532,0.029128573881207695,0.9565623620967979,0.1559647413494389,0.6578509792044348,0.18356922282978377,0.13927300431255052,0.35020168115778627,0.028695615352418713,0.0143400372628298,0.04534210482648923,0.16611714335171093,0.3014981630143714,0.1359812716720867,0.15995676205995904,0.0398847034925546,0.2837714789486814,0.03390561299802054,0.15400773404394846,0.11251006279026524,0.4921765297376154,0.0,0.07877054613859225,0.18287230009267313,0.22323972088663255,0.2750115795220178,0.22078512058736707,0.0767052936276326,0.07346737833708916,0.013988587924220183,0.07357922113007773,0.29188505203487214,0.024349913015677585,0.3041116291648529,0.3771510447871027,0.46253115484988316,0.04913964517585538,0.22813746472710547,1.0,0.8451523436442574,0.1774300844482829,0.01453546754219065,0.06064257552355273,0.17403955626349232,0.039878520699362985
RAND36.Role Limitations due to Emotional Problems,0.9363368738564093,0.23429949792188662,0.21506577186695533,0.19854328224937348,0.09313211840679564,0.7570891168188125,0.3164133837960016,0.7958188352711889,0.20475783297150021,0.48932181627087246,0.402411366332037,0.02826440805707227,0.009244603764113415,0.15271381039978787,0.14393522410602996,0.16685998431339108,0.11233285227025719,0.23552055702021216,0.15230837263507405,0.2984666417066755,0.040273273667032636,0.3623228886667963,0.282215286540517,0.42833333036814336,0.0,0.13878057406972527,0.2767454066351994,0.20687175577917918,0.8404013198910444,0.2373917955631417,0.10050084608037252,0.07461478999923937,0.07256537714381009,0.07426356624912525,0.2729632854087114,0.02734826361718211,0.6742137744614103,0.48527349341045956,0.8040075605186583,0.02080270807537933,0.2629070042647642,0.9587226101300457,1.0,0.1408804076017418,0.06756310721482342,0.14936577741916887,0.2695374999316199,0.011361983145731128
RAND36.Energy/Fatigue,0.5866541976573686,0.2544652460104283,0.1507309237286565,0.08545752022179268,0.03365666901194715,1.0000000000000002,0.12607658165712174,0.6335217659715622,0.21317115840489984,0.12736907137748676,0.35483856144238257,0.02314259300509025,0.00020717094432523564,0.05235088229633103,0.13455979129814424,0.28090264628891304,0.11274493874707595,0.16250875750245602,0.02141239884948848,0.2556869916161223,0.02457111296920396,0.1322617043203765,0.07828496732541394,0.5058384128508845,0.0,0.06264992189696997,0.177074184992842,0.2215941590277408,0.3300060039606586,0.17148340927503422,0.06738390531181206,0.07333869612008002,0.014869674700878972,0.06551967089389521,0.25637145693433905,0.017563370423540968,0.30199117287955257,0.3119364517011233,0.360983717389443,0.05402212275821516,0.20028427512263838,0.8895737615466387,0.7222872480680553,0.19124343523657725,0.006931989409950913,0.07738372054292601,0.1620353082150855,0.052836669388485066
RAND36.Emotional wellbeing,0.6859113696826294,0.14535278529672857,0.2546063890264212,0.05073773385859316,0.0339412983003258,0.9999999999999999,0.20212013413060853,0.7532357287394555,0.2287215263316505,0.3098145583457125,0.4784231624329087,0.036566084628718215,0.029886198776554962,0.1419206273051195,0.15249697163793408,0.29992588358071665,0.10252004247204514,0.1863622709321069,0.16823052992837167,0.33270756981495664,0.08004785572730687,0.2712758774483103,0.14486973657429159,0.5751513926314532,0.0,0.12473694284977792,0.2395569830230601,0.21971574891202378,0.8150674985852829,0.13792108964319427,0.06038509392739631,0.07652159557273376,0.1071962299713441,0.06513394918260866,0.25167401791157284,0.07792853888284741,0.445425212265121,0.3134203446410331,0.5572974271041589,0.025791917392677707,0.18084686784204662,0.8603760524502254,0.7862151211585887,0.09247134410819603,0.10419295575148237,0.15149062031244498,0.34074720563221544,0.05595485529903263
RAND36.Social Functioning,0.47841024140254035,0.2932265588779203,0.14294782229907052,0.06320474866566339,0.004031924661337782,1.0,0.11390454424818439,0.6084049303402533,0.18082964211702088,0.08659867573821514,0.3131148507340344,0.019299091186291202,0.009095607539325833,0.04000445548573748,0.1247691505685238,0.2852992203490671,0.11243507514329751,0.16885884030025086,0.003063680019915596,0.2652519619152305,0.031788025696020066,0.11779120232537155,0.07902573993300446,0.5047214561801313,0.0,0.0647522729511941,0.15101977467141298,0.199821609902107,0.2724456169405307,0.13815646609038348,0.06808994014060368,0.06332556806494027,0.024140859315177114,0.05484342778853358,0.25382904267768724,0.020640802376710794,0.25084938197592976,0.2745170731453948,0.30732548064211124,0.0530961060655555,0.18444326215336557,0.80454964422989,0.6293058536183727,0.22090321466097868,0.018734843361699623,0.06313674193247984,0.1892027259527674,0.05800867274836658
RAND36.Pain,0.5374588179745262,0.3093370406337681,0.16303680972763976,0.08285919841985169,5.94811460340669e-05,1.0000000000000002,0.1096329851395792,0.6241336042531691,0.17887814041797792,0.07925593215183395,0.3293454839682337,0.02215083949562923,0.015384594065324927,0.02716935896362574,0.14004408131463375,0.29867191187285114,0.11633246058079014,0.19177959855336102,0.016971536561376607,0.30055421895982826,0.041475127321906224,0.12904539189913902,0.07259708342801803,0.47578008397978766,0.0,0.0719655360900987,0.15404370972495363,0.20736066315763935,0.24618089106681304,0.15461019760958816,0.07296617913056952,0.0656005287138987,0.029123936342375867,0.06739072859360375,0.26779102303444313,0.03210533892316332,0.2491615412418938,0.2670961097350949,0.3295002192816836,0.04887091812254288,0.17917903269969043,0.8766238020600114,0.6893724527325642,0.18798684065864416,0.030307230344695624,0.06025065050976747,0.13047875821518673,0.05169668353352605
RAND36.General Health,0.5593952523174945,0.2880472823994971,0.15008746295109096,0.08843644563966807,0.034868870360314684,0.9999999999999999,0.14513927823317202,0.6210814602566567,0.19713574890798283,0.12823709343854744,0.3517557092872639,0.032019249649830335,0.01714890107276197,0.05844296016095656,0.1448274661880168,0.30272071238277704,0.12215450136829764,0.1739517214289834,0.02626696686895153,0.26523578882140825,0.04262637800577838,0.1516601070758245,0.08776158630222328,0.5204080075930138,0.0,0.074236417427396,0.18272940730448362,0.22127013621833214,0.30189275147652617,0.17526142231978087,0.07429084662921176,0.07577479672508103,0.021552508690613703,0.06986108288880016,0.28181158260559214,0.032078239128803705,0.2763029599967944,0.33511765271415844,0.36067983795555647,0.06273553058313278,0.19276429620955918,0.8996101295392471,0.7359985105475085,0.21868000573026197,0.014729620091942945,0.0727902459632985,0.193078256895223,0.05679812704690237
DANA.Cognitive Efficiency,0.40357416584001876,0.3466213403255126,0.13725462750142417,0.0691356936216187,0.01975856901814304,1.0,0.06327816203028186,0.5665226053193254,0.2235662726128074,0.05432409893796233,0.3376674420478889,0.024666230616468825,0.0,0.027717969043313244,0.1425873578910208,0.2604121401770786,0.10228337426821726,0.21654627209710645,0.024830245817006484,0.23021960168697156,0.024035439695274538,0.07369489378441488,0.05528818091823307,0.47135291048418126,0.01855332784590666,0.05825168499961047,0.1467852059621833,0.1864420354765933,0.229800748748529,0.0932793533711852,0.06825995008736838,0.06003218315659866,0.026186048873481922,0.07516948112075897,0.2556389413325839,0.022321996785556318,0.18698303660919632,0.2538480644940346,0.1785029473416296,0.04265780727929209,0.16740270584102546,0.7641044368135443,0.46676714302717004,0.29803038551971356,0.018200986286623512,0.048073784166574714,0.09166710885621715,0.07076836769909314
NLT.Orthostatic Intolerance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSQI.sleeping_problem,0.6116535191954848,0.29601751496765966,0.16936317903489795,0.08423853042121004,0.019338915032982025,1.0,0.13831829302265652,0.6155302076171782,0.22702589166186005,0.1315615005168404,0.38468882071089394,0.028417348019094797,0.018558972612478825,0.05966795860684992,0.1501008139101394,0.3055351898573342,0.1193283197043683,0.16146553466134464,0.03872743376206699,0.26146189283187804,0.05251821608829082,0.1425788449531108,0.10140619461357778,0.4848923440729013,0.0,0.07386374911585078,0.19952189672863382,0.21573913064596154,0.31270894996007864,0.19097350848386893,0.07478724992946226,0.07855282334470501,0.024907983806984016,0.07327528216198878,0.2632027661236352,0.03928390463683059,0.2722467632669778,0.35878541044039314,0.3893671861866914,0.05580035683883836,0.22083977421663786,0.9794040868551497,0.7306043642848927,0.225847619217745,0.025671004569866207,0.07773914021982281,0.1864502836021353,0.058156462815166406
GSRS.gastrointestinal,0.5872823915477899,0.32709354146193625,0.1794443500152769,0.08931737864124989,0.044918459491965844,0.9999999999999999,0.11149946388128215,0.5867621334847649,0.25072782984714365,0.10697108893529308,0.43355829892723086,0.031837800480919255,0.015796879987692622,0.056440458214006055,0.1554616609422858,0.30332960096931083,0.11788643683280683,0.1567815595794964,0.027053156693478124,0.2317212944927619,0.0560320522676235,0.12492762518364747,0.09287388670928964,0.4760814748870077,0.0,0.07169260762851482,0.1962155873357446,0.2213642515474491,0.312369865463527,0.17610834842771889,0.07811816446426548,0.08128693422421993,0.02488484529310514,0.07870409016567889,0.25434432785568856,0.0429778620764753,0.21646673999868754,0.3838242304726345,0.3260618624263748,0.0624532021436918,0.21668968094662824,0.9985844528115845,0.7023794170611143,0.2739223118285032,0.03339718737949087,0.07402294215145669,0.18719545199941567,0.08004637834290793
