,Phocaeicola_vulgatus,Bacteroides_uniformis,Faecalibacterium_prausnitzii,Bacteroides_stercoris,Phocaeicola_dorei,Prevotella_copri_clade_A,Bacteroides_ovatus,Alistipes_putredinis,Parabacteroides_distasonis,Bacteroides_caccae,Bacteroides_thetaiotaomicron,Bacteroides_cellulosilyticus,Akkermansia_muciniphila,Alistipes_finegoldii,Parabacteroides_merdae,Bacteroides_eggerthii,Phocaeicola_massiliensis,Bacteroides_xylanisolvens,Bacteroides_fragilis,Clostridium_sp_AF34_10BH,Candidatus_Cibiobacter_qucibialis,Blautia_wexlerae,Alistipes_shahii,Eubacterium_siraeum,Ruminococcus_bicirculans,Barnesiella_intestinihominis,Phocaeicola_plebeius,Dialister_invisus,Lachnospira_eligens,Ruminococcus_bromii,Ruminococcus_torques,Gemmiger_formicilis,Dysosmobacter_welbionis,GGB9615_SGB15053,Lachnospira_pectinoschiza,Roseburia_faecis,Bacteroides_intestinalis,Clostridiaceae_bacterium,Roseburia_intestinalis,Sutterella_wadsworthensis,Odoribacter_splanchnicus,GGB3293_SGB4348,Anaerostipes_hadrus,GGB6612_SGB9346,Lachnospira_sp_NSJ_43,Phocaeicola_coprocola,Rikenellaceae_bacterium,Paraprevotella_clara,Parasutterella_excrementihominis,Roseburia_hominis,GGB6613_SGB9347,Bacteroides_faecis,Escherichia_coli,Clostridium_fessum,Coprococcus_eutactus,Roseburia_inulinivorans,GGB1266_SGB1699,GGB9635_SGB15106,Prevotella_copri_clade_C,Prevotella_marseillensis,Ruminococcaceae_unclassified_SGB15265,Blautia_faecis,Dorea_longicatena,GGB9758_SGB15368,Blautia_obeum,Faecalibacterium_SGB15346,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Ruminococcaceae_unclassified_SGB15234,Blautia_massiliensis,Candidatus_Gastranaerophilales_bacterium,Bilophila_wadsworthia,Flavonifractor_plautii,GGB6608_SGB9342,GGB9059_SGB13976,Anaerobutyricum_hallii,GGB6601_SGB9333,Prevotella_sp_885,Clostridia_unclassified_SGB13972,Prevotella_stercorea,Alistipes_communis,Clostridium_sp_AF15_49,Bacteroides_finegoldii,Lacrimispora_amygdalina,Clostridium_sp_AF36_4,Bifidobacterium_adolescentis,GGB1681_SGB2313,Odoribacter_laneus,Clostridiales_bacterium,GGB3746_SGB5089,Ruthenibacterium_lactatiformans,Bacteroides_salyersiae,Coprococcus_comes,Ruminococcus_sp_NSJ_71,Clostridia_unclassified_SGB4367,Bifidobacterium_longum,Akkermansia_sp_KLE1605,Akkermansia_sp_BIOML_A40,Collinsella_aerofaciens,Parabacteroides_johnsonii,GGB9176_SGB14114,Roseburia_sp_AF02_12,Bacteroidaceae_bacterium,GGB9342_SGB14306,Ruminococcaceae_unclassified_SGB15260,Ruminococcaceae_unclassified_SGB4191,Ruminococcus_lactaris,Lachnospira_SGB5077,Lacrimispora_celerecrescens,Clostridium_sp_AM49_4BH,Alistipes_ihumii,Ruminococcus_gnavus,GGB9602_SGB15031,Parasutterella_SGB9260,Pseudoruminococcus_massiliensis,Streptococcus_thermophilus,Sutterella_SGB9281,Clostridium_sp_AF34_13,Acidaminococcus_intestini
RAND36.Physical Functioning,0.38316831016214087,0.07555290521715705,0.3361646388603712,0.3564923257631141,0.19821853017288057,0.08132852499059065,0.44591336786989266,0.13292942662567037,0.12902406869699184,0.2245131910523873,0.39125548703651286,0.36168520140010174,0.20350330350945015,0.44820900172344424,0.2603149018463407,0.09147662294996103,0.29201827064820524,0.11210515395837328,0.12772170460140309,0.07029567578561477,0.13385409454772387,0.0702883025530461,0.4748845234999727,0.031693027368593245,0.04923961823668951,0.7359713906699642,0.09838204776771342,0.37819473383160845,0.1407723608788509,0.022459983053388873,0.06204509239557666,0.15955748598542718,1.0000000000000002,0.4015254962629654,0.047270670253789594,0.1530719383380228,0.1459526496455997,0.1940612290833041,0.7138186804782436,0.5859121957525383,0.3828811391799066,0.07995952269357354,0.037879581201198005,0.10672863837031493,0.14018041019750968,0.3080551027607948,0.036868136994219515,0.08407172184686082,0.22035464734177587,0.156874771697198,0.20940337835846976,0.03912492534551754,0.06981395371119822,0.22302208281177435,0.24205619229889638,0.10779103655605457,0.5323779913972833,0.503013663490792,0.053515186167492436,0.034319627008518254,0.42785380894310177,0.680064058509735,0.07139725854910767,0.36847788398144776,0.2621330669261659,0.22327939323603488,0.205671148265512,0.1529564554065662,0.15424392660587616,0.21752183994642318,0.8285912771238891,0.07100438590238356,0.21748949515284752,0.18726963484309314,0.1501936355084902,0.05245422128380058,0.03934226978541228,0.03409954732253243,0.0679706839799096,0.32387018516554816,0.03358905904715371,0.02178998181335682,0.1127928388233582,0.5664378205242965,0.046546576420187176,0.008826096721611672,0.02802660720679199,0.8634384091306919,0.04448464801775636,0.03353371955480646,0.04869861964846366,0.16361277077817568,0.1665080986653993,0.11331753768657926,0.19714684802981222,0.12735479186073975,0.17223246830199163,0.31378908231452307,0.17326548726911303,0.1301899452049379,0.06414815120064063,0.053338340854792644,0.09885445778294658,0.106453264534388,0.16115646492542346,0.16451724227986217,0.04845759274411148,0.09958301876113373,0.3063359879322867,0.5502605335248684,0.1526509958609257,0.21621899276102927,0.20561707067319748,0.17225103238439685,0.006635090664364282,0.0,0.2933903375817603,0.02680545081465776
RAND36.Role Limitations due to Physical Health,0.5299650781081353,0.17307080986946366,0.2923414606721336,0.23400004133420044,0.11206292112140982,0.1600070741610397,0.4960649611483631,0.07430228045623065,0.19171522949354225,0.12643511658891798,0.2772720577360602,0.34447041116392235,0.12284232513017666,0.4180931859284356,0.3023632254674051,0.10179900021045436,0.2606708599243786,0.09920617996654481,0.11891088787981104,0.05831849162127409,0.0720852875396664,0.035194848860297334,0.4268053808501024,0.039097927754858874,0.04635752756962788,0.6602390256887536,0.07850143265751526,0.36558777429363704,0.15041942438815564,0.053228345702896585,0.13838584377497476,0.11710939848800257,1.0,0.42312093621545377,0.05278258431706909,0.335729171206503,0.07619132966086613,0.1484827717682694,0.7959940684528422,0.7758921974659347,0.28156793844245187,0.06201428613201712,0.06156847738977041,0.07926544333218973,0.07856287251033829,0.3958755071930172,0.026968138673627184,0.08241978938991452,0.2622283607429995,0.08450961586254462,0.19479347988715534,0.04999552344955838,0.07856916948447827,0.28353517417807894,0.2743738308142012,0.12944292526939838,0.11829271663493872,0.5296621658736194,0.054352135639778504,0.03885237483855691,0.38572065359581803,0.6152140063731303,0.07779351794211974,0.2712646171657895,0.2591265258160143,0.11661642536433663,0.2172153686964602,0.11743272584488636,0.10151641107149022,0.18463544380849045,0.8656613435397459,0.03443294235645143,0.24028096127746612,0.19436424596451263,0.1473508851938759,0.03465762203210199,0.05747008483047694,0.026458421588909237,0.0572761822031856,0.29746327605577816,0.12384551468968678,0.027971049438378706,0.0713461057240491,0.5651337352867699,0.07262706557325253,0.025807059902561644,0.014653562529240272,0.8439442266904237,0.052096455351461415,0.08870047900106486,0.0637543885742287,0.3543518895686633,0.14078522038179914,0.16406878543572717,0.282075395378503,0.14644003709130554,0.11163376776809479,0.300331420088106,0.11651908354869596,0.23268430368193732,0.03520153553609208,0.0486672289451707,0.08174595945590994,0.036658429597884054,0.16515136046306889,0.06450900685892547,0.05597368176985612,0.08857775707896305,0.39864777101995647,0.5018375333882424,0.04476814715727126,0.21070758176487325,0.17022471219863156,0.12519222041436734,0.00025836915009520844,0.0,0.2941207454002339,0.04982122371965489
RAND36.Role Limitations due to Emotional Problems,1.0,0.14106996280787948,0.18496959594048973,0.3673114824220126,0.09323933526056354,0.2541848175363028,0.6206737882801181,0.202481783042622,0.17536069309801683,0.24406929641210406,0.15267694567615075,0.24758953549551344,0.04368156225038616,0.47604376449452435,0.36689001503413965,0.09017501171895283,0.10209168565662137,0.23933524069964285,0.15505086750404684,0.3678949109676536,0.07016760215280014,0.14784939474490905,0.1112290697763589,0.02930196506439535,0.059848557229743984,0.6283159117275199,0.07777874742655914,0.1520694513083698,0.1434733268526449,0.2190866604226968,0.2564919957757239,0.24291143497361434,0.9195021622988248,0.7318894105024949,0.040886963604098533,0.5409210685939543,0.10886492541301986,0.42265754961366286,0.7178345907642475,0.5883887730070353,0.27174663480917566,0.08956614303467116,0.1551123712454779,0.16957944396737867,0.09317826673824568,0.09753074377034131,0.04063178617372937,0.07214515350289889,0.7588658072800206,0.2239405158036823,0.16862224985548607,0.038619683352784165,0.042563200189434575,0.39561712676063726,0.18667683167668153,0.20892874372790254,0.1987159923866681,0.24291784038703906,0.035649921185366196,0.04482103576129384,0.42856823092638324,0.581543591058526,0.12347261891317719,0.1370933559191408,0.13472578666639412,0.2614412269681785,0.06283428666033904,0.10784324751711354,0.0364908706960909,0.10390413736412533,0.8522327317643968,0.24527999165807535,0.13390397706789392,0.20411425440872838,0.07572401974953889,0.05256696826793236,0.023609157258365807,0.1181229119040028,0.029605573310833813,0.15374427602584156,0.3030216506382738,0.10116522079694419,0.18081352882502566,0.2406692750654214,0.11836818224742267,0.03602162771384912,0.07258837408442419,0.6030620638541009,0.02984823839908729,0.1638346856152692,0.27605209767365024,0.35131477674350614,0.1553088940354007,0.14295974803715156,0.27178896432549216,0.08313772449243385,0.02540069479324171,0.31298991323013464,0.02298388218437883,0.3588722767253711,0.06759704925952753,0.14009275890002976,0.047143122332463136,0.0521610203672208,0.05031888303378115,0.07016451430953259,0.17528040629782315,0.15581259402115993,0.4104225154284619,0.2556570684672632,0.1458548167620357,0.061472943119831314,0.0373895836240402,0.09822727965878396,0.0,0.027959159711386697,0.3223794301516364,0.06958165493642036
RAND36.Energy/Fatigue,0.48824146830095166,0.11039709636205369,0.3050655704661289,0.28038948792382357,0.18487115595312745,0.13617850891655378,0.4975129802719554,0.13133391297985156,0.15195219941180266,0.17134149491252157,0.3403807059180926,0.37811932303356965,0.13472775745136784,0.4534311609497674,0.3146318309795849,0.10809271190183098,0.3034805571663595,0.14009878405609585,0.15054644421639246,0.06576589870986939,0.1330055510143564,0.04611018040096515,0.46911903603866595,0.045059585836378896,0.07981625654674962,0.6831393084620985,0.11639290470397542,0.4394010732011333,0.15182220786309283,0.034361809327184384,0.13228198664613097,0.13620711746295247,1.0,0.4429474532698226,0.052114724927343606,0.24537807208964638,0.1112504141849179,0.16454128762923717,0.7918583899633919,0.7747763622093736,0.4033879204418079,0.08997807903812964,0.056559902038502446,0.11596239087520019,0.1071904019449535,0.4181440649540201,0.031127787697718044,0.11270296137828989,0.27497397328188883,0.11402107306322731,0.20593309468929283,0.04917228585857393,0.08489244870791145,0.2731879160434755,0.32479925684206823,0.09159154932510408,0.3180567821715496,0.554615058016584,0.062437405036512975,0.04875279535207369,0.4152884634048993,0.6124906464829941,0.09280288014152445,0.3352870619835589,0.24019526106545994,0.12508066993604508,0.27698166618049835,0.19026917905470628,0.14995091309226297,0.22825904828179103,0.8504443525829825,0.06987738564741401,0.28697560215752,0.2167351781405578,0.18932021788653017,0.05691596191149127,0.07399662119574717,0.02648156168871525,0.08431163936148468,0.3388799155920379,0.07955346655312846,0.03149059086598109,0.12541706980482828,0.5998005660713036,0.07164431048474357,0.034950964255919245,0.022806196708808315,0.8248195733381156,0.0694697335858224,0.042603987982639716,0.07803085981664519,0.2613628883839393,0.15444150602516435,0.17547046806783836,0.29981218319314423,0.1673632706551884,0.1499183676931968,0.3245540003665832,0.1640338458686838,0.2472432109954604,0.06466994218542438,0.0419963514425372,0.08718550078386565,0.06718166774798745,0.1608119829512144,0.10176395921277867,0.058516629184019175,0.10851284805549616,0.3807573199851684,0.5262040598193867,0.10158978674307734,0.231681598321101,0.21237600589573374,0.15697013137657692,0.00989442102130712,0.0,0.2842057692431609,0.05383153421423971
RAND36.Emotional wellbeing,0.9916273424900724,0.11743564624120598,0.25226483777024516,0.5059532981987345,0.16331442262744217,0.2130449405808078,0.7010363687970528,0.15130577693668049,0.12698208254784085,0.20792003654517727,0.30185538101481596,0.2824167081906217,0.023993733860210094,0.5924992052152676,0.420634557751113,0.10878353049961265,0.20053288878410577,0.2322788537539266,0.19892840758703328,0.3645873897164828,0.09661310479583837,0.1907890063716515,0.14416963777380418,0.03647038648589145,0.0700787803873798,0.8207807205594451,0.14162913853836734,0.25194612184975673,0.19145961669357098,0.21603924782330391,0.2233422615173924,0.32166447389511077,0.9567997944785155,0.8229350185103673,0.047641164029992876,0.48943240864510357,0.0959581763842807,0.4890428533856607,0.7677948174811133,0.6429527979569221,0.17681177452792102,0.10766253366449985,0.15510086048416935,0.2250108937122985,0.08567715943300308,0.13655166996602536,0.05371999416687425,0.08001418159251744,0.7501679761106067,0.3124750768999215,0.20627718725723854,0.046682534939377025,0.04666120683932392,0.4018159025502709,0.24871585811838454,0.176473892669359,0.06789815754682393,0.3492929888470734,0.044640074430467754,0.05590452676252557,0.5745858228272707,0.694420036276874,0.10084434953442492,0.18048945342672837,0.13297889240998395,0.3845803369673873,0.13239415711450062,0.1451268917009861,0.03942020644703558,0.16166279279165527,0.9999999999999999,0.34665735565600486,0.19205954892717803,0.2376231479144552,0.10939539506519355,0.06287852831963164,0.02708062298667565,0.12470745594705462,0.0035070877563884995,0.22551663570368574,0.27413087576170503,0.0932858672139463,0.24242279313215848,0.33316952330547317,0.10221755979890146,0.032181713807286995,0.07452332062361341,0.6647314995450477,0.03251339503385416,0.062195570602459525,0.25098535428892577,0.2755949186983867,0.17744191731748213,0.16251203390322796,0.2987428499776401,0.10039571735007038,0.06719127326293653,0.37121784246640543,0.058931578161968416,0.305554634539858,0.04985113481656623,0.1353087685119822,0.048545524283689294,0.027566884919619956,0.051162481948067724,0.06710964204621409,0.1742109573043757,0.12441826986839327,0.40665065270752426,0.4317367439584202,0.07931999843859153,0.0752695884049121,0.084136148074827,0.15104849761908434,0.0,0.025129322329045793,0.3821545784035163,0.05480658226013054
RAND36.Social Functioning,0.5228149061818527,0.09203679168302356,0.34162466479301595,0.421837182798538,0.22431370145807605,0.11153771564631834,0.5340421997810536,0.13214952998459104,0.14104448795687433,0.15686664646701842,0.41524850301243077,0.36458910992734317,0.1879654137385312,0.5189386748231047,0.32096138969910637,0.11457954480105056,0.3306629011385631,0.09226021249035568,0.14154937200848117,0.06458214106516671,0.14515312109494405,0.10603740849021151,0.46288158171023136,0.042437078516605255,0.05774518394127048,0.8158418998368502,0.1297151421316764,0.4050794292162234,0.1837570528632589,0.049785373741781276,0.08156101347015035,0.18797329353869752,1.0000000000000002,0.5269262889285735,0.045698727860452405,0.23873484881681306,0.11249676673346248,0.2537011775005009,0.7708215144013236,0.6671796208898249,0.3491232533266696,0.10133862313363975,0.040733507413317764,0.15247781519747855,0.12727733649899606,0.3370701193202901,0.06313837013410517,0.09843435481348259,0.33377201452040833,0.1880474140328392,0.2290179617398716,0.05603273752243327,0.07666978172080344,0.26814617494561455,0.2809692690995093,0.1177741879404377,0.49512006414417714,0.5319881400166756,0.05851200124463166,0.04778624662139964,0.49285384963934603,0.74293909367761,0.07330727209021012,0.3816064750925194,0.21136593446699414,0.2632611306852336,0.2434723769722228,0.17605760287252967,0.14730302714584673,0.23850375286988806,0.9230517193022422,0.1418550411373813,0.2519000098198581,0.22213225291461053,0.15183665608243477,0.06095588633211083,0.062084496012512015,0.05090400991846742,0.07628844833179255,0.3495517549465442,0.06866441056046643,0.037151393835910825,0.1486191318180798,0.5772476794726211,0.06149129944927204,0.022896654047031985,0.017683362982952762,0.8822346251905828,0.04929109049582423,0.05016962645938985,0.0771680355445967,0.18772150730369322,0.20943910655757025,0.15486188899968972,0.24585373223134704,0.1536294780338056,0.16264368788857608,0.3619744916920339,0.17960667556636428,0.1344567659001093,0.055891033927665805,0.06460205343860603,0.10939704640732839,0.09028460612153302,0.15909579853141537,0.16517081319367657,0.06779295941728278,0.09107877377020818,0.3473361516126659,0.5715763030115218,0.12682784809958042,0.21211860331935584,0.21590864638512625,0.1838432229411199,0.010810716030935925,0.0,0.32849234096868407,0.03898459986359926
RAND36.Pain,0.5079929430535857,0.11024879835460338,0.3758792273561205,0.36842286514899103,0.2113719726967115,0.09978806399770698,0.4890682070545456,0.13026404382507073,0.19312524231129655,0.18250980705218495,0.4021061636300191,0.3823423026446061,0.2088069896084411,0.49861002665570714,0.31989838273347193,0.11920997933676142,0.31934883255369656,0.11811559482950615,0.14018323411823677,0.05998043072086768,0.12239987373917205,0.09227488397230851,0.47128411969485134,0.04147523609800264,0.04796520315780633,0.8045815083575648,0.12497677970403495,0.39872204683227236,0.1781672792918299,0.05752506050093208,0.07658156441590627,0.16786274658345882,0.9999999999999999,0.490682301597484,0.06406661091199867,0.24869563586254131,0.12495477360175858,0.23874058496719455,0.7794956137557378,0.6920363124435618,0.33655741097022307,0.09569004844016796,0.042321696398899426,0.13381933391733375,0.12266570755592915,0.3636680229212266,0.05818311800833997,0.10071519078509933,0.32162170760720693,0.18485964621020495,0.2514269846871699,0.0551071679077648,0.08604152863873893,0.25313513960731193,0.3089564145338626,0.13337199908075112,0.5175982238980676,0.537990692999911,0.055111876249901305,0.04913854007092195,0.42741428146058524,0.7375144816993802,0.0837132085089623,0.388406223522774,0.2722124730046064,0.24819922257366148,0.25860019589609795,0.1397187519570964,0.15027739774436125,0.2502941591639603,0.9077605819921228,0.11200264669282026,0.2491704927103041,0.23184937091220645,0.12686257853509514,0.06564005120929339,0.05531806877284313,0.05400730048148256,0.09011239593653475,0.3457693577001783,0.05450445969893431,0.033304888232231995,0.1307083742534861,0.601179063563699,0.06898696024308681,0.02401986417509997,0.021747786217148762,0.9468318976025142,0.04665410420781061,0.03611671512977343,0.07783498327640703,0.23097968895027834,0.2274176358285203,0.15584594989200298,0.24455610499201277,0.14790045495521786,0.16237378689581142,0.363095989653091,0.17787124333914128,0.12869521407395723,0.060281891879921716,0.07076423311248406,0.12303085745611494,0.10882730273603913,0.1832590852132559,0.17163388344646838,0.0626709848189084,0.10623287316629088,0.34316306281672243,0.5372169316364155,0.14337895401816095,0.2423163056720519,0.20730996291831227,0.19545719184258536,0.011519911263123066,0.0,0.3445121055979335,0.03051761248209226
RAND36.General Health,0.527119955242913,0.10060264574857866,0.34901557872773203,0.37051420532749113,0.20430777816514256,0.12696303470345255,0.521741816256249,0.128982390017829,0.16949748739658346,0.16593374758609097,0.40251780716546803,0.36776420464575976,0.18237449329653374,0.5146926726798767,0.33874943605859253,0.11882895715516745,0.3258042698627116,0.10871221183296981,0.13677873989480843,0.07054078665392573,0.11681968027139022,0.08387529319230985,0.4658874357105979,0.045685373708360955,0.05592833599986065,0.7780165854832113,0.13354598910633117,0.4177079222126333,0.16544565815148982,0.05306463188873399,0.09173665830394043,0.19223360626235467,1.0,0.5149798052626698,0.040895624768538016,0.2757783957163843,0.10825298514156936,0.23819451858816867,0.7894524457438359,0.7206383923654583,0.3594427236886977,0.09842127092480923,0.041750450029578445,0.1454392957394352,0.1145893285697965,0.3585956946741842,0.05273531939603621,0.101448356789551,0.32363252220744143,0.16341632293858577,0.2294666175269829,0.05051462666004973,0.07982234450472417,0.2663566239594346,0.30129186190011215,0.12106570075170245,0.41437908982940364,0.5361282330401148,0.05605497579533247,0.051128325345504086,0.4675884319628043,0.7309771856630474,0.07351369093011882,0.3647095517974108,0.220985451980137,0.22969440903122826,0.26590315940853815,0.16847523954393634,0.14345901647172474,0.2325699231065104,0.9305260856461026,0.11852767760595234,0.2649369702092421,0.21963138505891425,0.15320849967323227,0.06207007458421039,0.06733773146234065,0.043025094693046426,0.0884413625787426,0.35943158870394,0.07605064639870868,0.03784571544505069,0.13028916199116833,0.5916727504512885,0.07380501775655295,0.028501888744539683,0.01952171019191736,0.8757127283018494,0.05867186780286052,0.040494827428969454,0.07401163483410295,0.23191717544270304,0.19696325513223695,0.1660136267034071,0.2734454954846597,0.1597131039112856,0.1606706451753864,0.35737450344755617,0.17557605958297248,0.1538892382914662,0.05167207635593235,0.05544249255158695,0.11109445070683019,0.07740374651206414,0.17212167230332184,0.1411585733677958,0.06476060960114682,0.08717287228288842,0.36768015135576126,0.5650389837137161,0.11200227924548234,0.21550011819241574,0.20700115755108375,0.17841165802620004,0.011794276952060638,0.0,0.3319384863772218,0.04353126181163154
DANA.Cognitive Efficiency,0.3230774922192946,0.10721648403297676,0.4001377944463277,0.31354842971853303,0.17714906977459588,0.10111670756542393,0.3062836979385829,0.1130790618468499,0.2472928388275694,0.2545948413647807,0.32625307862873587,0.3872661954344758,0.25520840591409577,0.372815725086571,0.23409612987030406,0.10812946403776738,0.23121262273605395,0.15020604145532493,0.06928766340207931,0.10511072826824752,0.09320543135714751,0.08246402419605119,0.39811572525410865,0.03689806496463724,0.04605694914727032,0.7078021861521714,0.0808396430506805,0.3253703517990528,0.15228044502468838,0.030495097371615168,0.06702726242261649,0.10389135456687168,0.9999999999999998,0.3745880086049027,0.1391198582287258,0.21589490907061934,0.15480559045670175,0.2257234232580371,0.7148027541080271,0.5952468366557822,0.2895452880602307,0.09890531858306276,0.051570640077909305,0.07184985900376031,0.16251845618802208,0.3419249109358182,0.01523475658984566,0.08175325066457467,0.26574213084041765,0.17352855617052887,0.23840568040500845,0.054192471600694334,0.07261104051174203,0.2388623729523465,0.25923701660951526,0.15743886753761155,0.6604566249134564,0.482698670978828,0.04092699070590196,0.03248141520087508,0.319789778811883,0.7263869001048403,0.11222425804921146,0.46566681848518454,0.3580306746162565,0.2307892491492015,0.23502925994060372,0.05964344630633542,0.18791034940840365,0.23991809642780068,0.7227940452681845,0.047654605651271956,0.18169150965479114,0.17982957146994136,0.10945468693964475,0.05165504902240789,0.03170755148345372,0.05493948175674293,0.13622653727250256,0.25453812232734474,0.03931193729167784,0.038808230862197604,0.08099003435542365,0.5799608489613254,0.057856435137156714,0.017293769737736525,0.037689789217491484,0.9628578315755534,0.013630307205033387,0.06837584292107086,0.08661236527552997,0.2562723523927729,0.2062811156806866,0.13211744754061475,0.16157470257660592,0.10897566089651409,0.13775219170240152,0.33975587820265307,0.13675062356195813,0.1187780200618094,0.05583778206995656,0.07081459457210516,0.15701616906034385,0.1388341460993934,0.23283415308950714,0.1939058161318365,0.04547577239545536,0.13003278062293647,0.3253607545755679,0.4379640826856438,0.15409599643111627,0.3113264289524784,0.179501423290166,0.18253369579271914,0.0,0.011883173043258345,0.32445421800335783,0.02597593900127214
NLT.Orthostatic Intolerance,0.40217484085156313,0.08354506258486824,0.39660210031438264,0.4409003736024263,0.27347749175208264,0.08775546173793206,0.33476432357326463,0.14472257344095757,0.23272760304649162,0.3222858404480671,0.4236790147426819,0.3769462293943473,0.3148379203770566,0.409876590764367,0.2051341074610686,0.1269345393024677,0.29507817940319286,0.1611534064858823,0.10901845315804295,0.13326007756625685,0.17034094938168984,0.1500582683593843,0.4248140538523115,0.03998547706853214,0.04915287004272558,0.8017257769750249,0.11207739395978947,0.4531084369046518,0.16732678900734335,0.030366304908474064,0.09348366659404414,0.11668180550440294,0.9916639475759732,0.43693544154431013,0.048591717168003985,0.09009587863593368,0.1772904918801177,0.23176959375583786,0.6419772664330125,0.6937486638206751,0.45346969847963076,0.13160994632430598,0.05400706652561622,0.13285762111662072,0.16133164716726625,0.46394303275643994,0.041387106793943716,0.15973390479022206,0.2769521889710519,0.2490449859692541,0.24686942427863098,0.04892740980316342,0.061120087220699594,0.12310531467484612,0.308679453605784,0.13661482201884823,1.0,0.5158623494456555,0.03724346789143355,0.032901579359022416,0.46848565541376136,0.7980778437469094,0.13125939717400414,0.5529225194862839,0.35307835921066916,0.37005418674863294,0.2918682945768458,0.08987230194125795,0.21424965649614577,0.31969095304990075,0.7732480436640999,0.13191249417249712,0.23814338631584767,0.1892005468724471,0.08104767555968809,0.05310554898190504,0.03294359691407133,0.04139588308416347,0.1862192121536837,0.3623987519056776,0.06998958550841852,0.0363023025012972,0.1874484734687266,0.6126376630963012,0.05228838293574083,0.01734225586270218,0.01592835596129677,0.9063480871139997,0.023689160537360067,0.07537818154874804,0.0963420811916951,0.159317018970804,0.23368006356194884,0.11134350923887848,0.18945961393533897,0.14067498232127615,0.1669686918144702,0.4065725762813667,0.23130794552861786,0.0845967013120312,0.08746562553378301,0.07728263190825446,0.15503624231420288,0.20952689952585302,0.2208868004312505,0.32237553552577447,0.046529247984075324,0.19539936660751392,0.2587280591340777,0.4874640243369123,0.24201767324850534,0.3354632971470202,0.25381763868404583,0.23174329500526178,0.004839016457503627,0.0,0.3265179174289436,0.019422936201050484
