,"Cholesterol, Total",HDL Cholesterol,Triglycerides,LDL-Cholesterol,Chol/HDLC Ratio,Non HDL Cholesterol,Glucose,Urea Nitrogen (BUN),Creatinine,eGFR non-African American,eGFR African American,Sodium,Potassium,Chloride,Carbon Dioxide,Calcium,"Protein, Total",Albumin,Globulin,Albumin/Globulin Ratio,"Bilirubin, Total",Alkaline Phosphatase,AST,ALT,TSH,Sed Rate,White Blood Cell Count,Red Blood Cell Count,Hemoglobin,Hemocrit,MCV,MCH,MCHC,RDW,Platelet Count,MPV,Absolute Neutrophils,Absolute Lymphocytes,Absolute Monocytes,Absolute Eosinophils,Absolute Basophils,Neutrophils,Lymphocytes,Eosinophils,Monocytes,Basophils,Vitamin B12,C-Reactive Protein
DANA.Cognitive Efficiency,0.006982667889703981,0.006364231768108381,0.0022273581269966368,0.0008901875316109774,0.00041300380123800515,0.01859776105511651,0.0011639626725231766,0.009911411401202096,0.003701347925835064,0.0011836368900543502,0.0053270394732563295,0.0005350255408862262,0.0,0.0005496159886404058,0.002828310026709094,0.003684348626181298,0.0020114416117526747,0.00453758924069652,0.0004998704731070039,0.0028010449401755897,0.00038133840186354564,0.0010533993895620835,0.0006044808290501003,0.005495283743489661,0.0003377341574189777,0.0010538686034675584,0.0025584061926328546,0.0037536784084968053,0.0037379603324079313,0.0012350556901702294,0.0017929065590748256,0.001116805226585795,0.0005218353156501162,0.0010317139215949645,0.0039460702491394915,0.00032356000193508634,0.0031585607142276253,0.004884864179565025,0.0030593854458773515,0.0007919906430210043,0.00278370094155331,0.013030274766947183,0.005692802098186,0.005544200169551338,0.0002860340200265213,0.0009855711929959209,0.0014983680528760466,0.0010377723252679672
GSRS.gastrointestinal,0.010394721682018132,0.004939964179202186,0.002750848113618424,0.001443993921671105,0.0005575569794501081,0.013126287826380553,0.0013634460891708098,0.008820167398096358,0.005285435178789625,0.0013301557560281882,0.007719383394938838,0.0005390401014327415,0.00027226065050938353,0.0008994153913815211,0.0030193539265659557,0.005349776327904863,0.001894949764542657,0.0027357629804220045,0.000520805930959378,0.005421995567288471,0.0007829922535944115,0.00232035438835213,0.001785367695123343,0.007921393945499858,0.0,0.0015840484091539165,0.002240334988493726,0.004671645281316263,0.004654718154696023,0.003922992086540424,0.0017584829661766918,0.0012073809655610017,0.0005074018027564269,0.001668357925105404,0.0038750772400723823,0.0008540285429494749,0.0041374411752984905,0.006226263178507457,0.004166793400154335,0.0009913912595556026,0.004009319768702996,0.012882872486581157,0.015727987737173228,0.004590268052305804,0.0007482738043967768,0.0008613526069633868,0.004156448262398778,0.0017296129483741604
NLT.Orthostatic Intolerance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSQI.sleeping_problem,0.010756968050006387,0.00651031121427462,0.003722415265367112,0.0013712377796876569,0.00016424087781239196,0.012705546058300862,0.0027084264048132566,0.013812209567743842,0.004767485547664404,0.0023031156705691433,0.006830917370004866,0.00046860057060783394,0.0003096990206565489,0.000901267550096632,0.002215773694807983,0.003206964871396716,0.001936520503208282,0.0031123909982861816,0.000733967705406851,0.004786449096964174,0.000941542824278538,0.0021959410126676827,0.002047256352228009,0.007143217721206627,0.0,0.0009572372707104349,0.0023607256683393788,0.002789299637738604,0.006395772101691543,0.004409256785712143,0.001426539133984919,0.0011511098834151618,0.0005352823372183216,0.0010586308700127728,0.005541640236719491,0.0006137984132908719,0.004433859260250764,0.005744203411109495,0.00867805942286262,0.0006673387915440794,0.0033285611456649517,0.017645613686125137,0.010657495745637586,0.0030986847694514244,0.0004557682776277948,0.0014317532709987204,0.0028945828164346227,0.0011834276012356478
RAND36.Emotional wellbeing,0.00927938056110614,0.002963536527548845,0.004391266337939713,0.0009208773341863199,0.000651752652415309,0.017853633253653724,0.0029441588425455135,0.01135421006660984,0.005012795167205114,0.005773783855258482,0.010245396792193396,0.0007080954761409022,0.0006721997024687509,0.0027696684388149374,0.0020511862022115942,0.005153758627004059,0.0018616982135738096,0.003606970775752622,0.0019667150329168094,0.006436420087229363,0.0009341316602841722,0.004890269776219722,0.0022516343760159542,0.007284564994567793,0.0,0.0020795640328689865,0.0032876833772215053,0.003996512200330544,0.01676468066311773,0.0031125900704142215,0.001041425391063993,0.0011554292371804874,0.0017641769199802915,0.0009902699088167313,0.004397047232777837,0.0016065299577208523,0.00951781698935141,0.004747756611187313,0.008020377706251466,0.00048266807607401694,0.0037707965591870863,0.017095454233574683,0.01557251728365342,0.0014053513925503017,0.0021034941444064365,0.0030847263551294765,0.006965701593202122,0.0008954082019317556
RAND36.Energy/Fatigue,0.010872517899076669,0.004267320434439313,0.0028764229089490796,0.001318362235272381,0.000539626338172662,0.018607529513922715,0.0021055642797618798,0.011743533855990406,0.0036910145183869894,0.002240083953399095,0.005810017134370403,0.0004551714940765725,3.964273601427427e-06,0.0005654458626750347,0.002249266228114525,0.005559177150571662,0.0029806732350710014,0.002856671230369938,0.0004931176543419622,0.005296256972387038,0.0005912092120767538,0.0017142553962667235,0.000923810697847195,0.010743086088350352,0.0,0.0010693061987694615,0.0027963814702290967,0.004178257351704051,0.0054621122134820115,0.0032416128980312835,0.0012421385935174908,0.001020219704332894,0.0003247973216035282,0.001107122514596027,0.005051134269904825,0.00024199839751442112,0.005321995340354272,0.004505706570732824,0.006059825672079738,0.0008460033186752158,0.0034131416997792113,0.013074004202376782,0.015896029178244554,0.003491900985814931,0.00013543405841258494,0.0012978656556718773,0.0025512201556543894,0.0011511551536710532
RAND36.General Health,0.009720198097524368,0.004852993774394709,0.0021168000157517444,0.0017757288448432406,0.0007132843486658353,0.019880503874395803,0.0029997503995917276,0.014589854300428452,0.0035996711038017806,0.0020995353845745073,0.00565470284453493,0.0006244851357189779,0.00031065055049259567,0.0010891833511291742,0.0029538095309113604,0.004582591194722135,0.002925608473295713,0.0025414244630624326,0.0003191626617379563,0.003946075915813759,0.0006152166486294403,0.0027890876895701644,0.0018658284267453371,0.007575025570680445,0.0,0.0011339698414120248,0.002567071279377984,0.0055606393738267795,0.006728634880909767,0.003077165614310296,0.0011923363148364477,0.001529954962803654,0.00037030063659856564,0.0016578994025515015,0.004246809838653255,0.00036663231169863195,0.005399761876009222,0.008918750340947485,0.004928618581382119,0.001194142280942682,0.0038903054470420524,0.010754167420291326,0.010471876753911053,0.004565080722414822,0.00017707933559831183,0.001568717369887764,0.004188756779368271,0.0007242371470307655
RAND36.Pain,0.011370197172595286,0.0041020072214587805,0.0024770098153944348,0.001998920002058259,1.057420140573269e-06,0.01810914913859135,0.0018459663955174663,0.01294249505005025,0.003437215142127771,0.0012287159187774129,0.004845040679722919,0.00047257560341048947,0.00031983539499631336,0.0004813213050985783,0.0024116090349628498,0.005581698432034321,0.0026082935622358198,0.002592301716654788,0.00033691022168036525,0.005816900915968672,0.0007800506441358032,0.002237692157786874,0.0017102218499564753,0.008082792707815934,0.0,0.0011171129419594455,0.002551274731255434,0.0034901946672812327,0.00436647579473261,0.002996503229043686,0.001261722181399578,0.0011562516571508325,0.00047719444896205044,0.0010161995277299012,0.005175379034019003,0.0006084934912580136,0.004988103853485901,0.005761214219074973,0.005580563420474396,0.0011422614730538607,0.003139667646410074,0.01539684774711606,0.010295155950324042,0.0027772142176875087,0.0005111226728095893,0.0011999340319612734,0.002534119937795531,0.0010111821636472537
RAND36.Physical Functioning,0.007698664130271046,0.005755193367653495,0.001782299293652124,0.0017692304666152953,0.0005706235617376181,0.01838908144622654,0.002753032459355941,0.014243269238151075,0.003601428019658396,0.0018962375837172682,0.0073094218995764185,0.00045768193523232137,0.0004044491555359914,0.0005883121431636288,0.002864608503597703,0.004220440265784507,0.002654215924035107,0.003304860047964955,0.00019318063693074918,0.004504702403843845,0.0011397852336962808,0.0028364181245350483,0.001425761614614341,0.011398577110147896,0.0,0.0013137622424673444,0.003887933507638905,0.0038471735712525186,0.004657430879858779,0.0031407438058710484,0.0016998094530925535,0.0011664681145236917,0.00015993672794926728,0.0013016399417344299,0.005092900887655534,0.0008551174660518943,0.0035888704788122564,0.006080574785580905,0.00798051764071997,0.0009667999599290228,0.003510924743556761,0.013882345862422407,0.01140270699946647,0.00408416098910212,0.0003037177700382772,0.0008721949975974701,0.0029315476649992814,0.001039329225147813
RAND36.Role Limitations due to Emotional Problems,0.020434977127963206,0.00457589619559282,0.004788790263754161,0.0026367264806280133,0.0015959816556374287,0.015271869912858789,0.006077278961405019,0.013010327920622502,0.002577894341933746,0.011025126187603863,0.0077992944989748346,0.00036279167514799383,0.00019357586155912648,0.002584510405714492,0.0035250912341229634,0.0029063115322574633,0.0016080319110062342,0.004537424582480142,0.00316148054173713,0.004136771469941592,0.0005887282063086386,0.008237566529321547,0.005641039923203406,0.009836630835186329,0.0,0.0023691925032580364,0.00476332341300507,0.0040440599314649365,0.018395595812266803,0.004726217840925432,0.0016776664147317756,0.0013231426211113462,0.0012647005203484751,0.0014650309938882256,0.003988629186743205,0.0005467702248166487,0.013756006231228676,0.010095230913709436,0.015557098951559493,0.00027330457450215894,0.005764871526240988,0.014779267233954639,0.015332320517569371,0.002773590895133332,0.0013508499289448927,0.0032787699449977584,0.004041547377424153,0.00022143627823474087
RAND36.Role Limitations due to Physical Health,0.010932368573419489,0.005136501457550101,0.002994454907831703,0.0018257207747875328,0.0005578187696813963,0.020526257277924433,0.0031051928621579536,0.012531424568470052,0.003381459389156151,0.003340567569321505,0.005382400589879178,0.0006245954547905401,0.0002978517354894137,0.0009628125470589083,0.0029260306979466463,0.004076859993606557,0.0026930828824951393,0.0016179270061682574,0.0008273347310273773,0.004951334528266408,0.0006200876499649886,0.0023278618444319216,0.0013812583209869226,0.007591247405495354,0.0,0.0015973756102512094,0.003155012528976839,0.004175227957748563,0.004566612386008916,0.002884685101680272,0.0015111789903928178,0.0013146190196371176,0.0002082849783109373,0.0011652063118318488,0.00416827667140427,0.0002245078326837187,0.0031822210599022427,0.004643030217040995,0.008528868064039206,0.000942038935996924,0.004790648889424258,0.02043759621759591,0.012750893138691212,0.0025424716533636433,0.0002570236769584945,0.0009320177543570374,0.0037454120657418135,0.0005702778737798292
RAND36.Social Functioning,0.0098984680878494,0.0058116685717726135,0.0024490525101606192,0.0013106892103510236,5.171527362887749e-05,0.020644563239014074,0.002611956818649662,0.01309695513477087,0.0034718688481650663,0.0014393138066915645,0.00618344938518457,0.0002877973122378895,0.0001391495929244875,0.0006176155142093412,0.0026091315188457795,0.004653500393983575,0.0023333263202006444,0.00295366887187642,6.669620421454549e-05,0.004656532155550197,0.0005239474096966367,0.001616007386084295,0.0014691846535049699,0.00975163052577729,0.0,0.0007147735517506404,0.00314797751626829,0.004150140968897295,0.005559465986216812,0.0019307306679180278,0.000751337683157663,0.001239988969814592,0.0003193209407398732,0.0009254275892013196,0.00482170391341824,0.00034629979584286296,0.004174130202395743,0.004871101944728364,0.005636409495108006,0.0012780014703068802,0.00295606440723302,0.012940849564428468,0.01719367751702258,0.004773759334883577,0.00039967957770669244,0.0008376860313505314,0.003803370568509711,0.0013187022504695446
