,Phocaeicola_vulgatus,Bacteroides_uniformis,Faecalibacterium_prausnitzii,Bacteroides_stercoris,Phocaeicola_dorei,Prevotella_copri_clade_A,Bacteroides_ovatus,Alistipes_putredinis,Parabacteroides_distasonis,Bacteroides_caccae,Bacteroides_thetaiotaomicron,Bacteroides_cellulosilyticus,Akkermansia_muciniphila,Alistipes_finegoldii,Parabacteroides_merdae,Bacteroides_eggerthii,Phocaeicola_massiliensis,Bacteroides_xylanisolvens,Bacteroides_fragilis,Clostridium_sp_AF34_10BH,Candidatus_Cibiobacter_qucibialis,Blautia_wexlerae,Alistipes_shahii,Eubacterium_siraeum,Ruminococcus_bicirculans,Barnesiella_intestinihominis,Phocaeicola_plebeius,Dialister_invisus,Lachnospira_eligens,Ruminococcus_bromii,Ruminococcus_torques,Gemmiger_formicilis,Dysosmobacter_welbionis,GGB9615_SGB15053,Lachnospira_pectinoschiza,Roseburia_faecis,Bacteroides_intestinalis,Clostridiaceae_bacterium,Roseburia_intestinalis,Sutterella_wadsworthensis,Odoribacter_splanchnicus,GGB3293_SGB4348,Anaerostipes_hadrus,GGB6612_SGB9346,Lachnospira_sp_NSJ_43,Phocaeicola_coprocola,Rikenellaceae_bacterium,Paraprevotella_clara,Parasutterella_excrementihominis,Roseburia_hominis,GGB6613_SGB9347,Bacteroides_faecis,Escherichia_coli,Clostridium_fessum,Coprococcus_eutactus,Roseburia_inulinivorans,GGB1266_SGB1699,GGB9635_SGB15106,Prevotella_copri_clade_C,Prevotella_marseillensis,Ruminococcaceae_unclassified_SGB15265,Blautia_faecis,Dorea_longicatena,GGB9758_SGB15368,Blautia_obeum,Faecalibacterium_SGB15346,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Ruminococcaceae_unclassified_SGB15234,Blautia_massiliensis,Candidatus_Gastranaerophilales_bacterium,Bilophila_wadsworthia,Flavonifractor_plautii,GGB6608_SGB9342,GGB9059_SGB13976,Anaerobutyricum_hallii,GGB6601_SGB9333,Prevotella_sp_885,Clostridia_unclassified_SGB13972,Prevotella_stercorea,Alistipes_communis,Clostridium_sp_AF15_49,Bacteroides_finegoldii,Lacrimispora_amygdalina,Clostridium_sp_AF36_4,Bifidobacterium_adolescentis,GGB1681_SGB2313,Odoribacter_laneus,Clostridiales_bacterium,GGB3746_SGB5089,Ruthenibacterium_lactatiformans,Bacteroides_salyersiae,Coprococcus_comes,Ruminococcus_sp_NSJ_71,Clostridia_unclassified_SGB4367,Bifidobacterium_longum,Akkermansia_sp_KLE1605,Akkermansia_sp_BIOML_A40,Collinsella_aerofaciens,Parabacteroides_johnsonii,GGB9176_SGB14114,Roseburia_sp_AF02_12,Bacteroidaceae_bacterium,GGB9342_SGB14306,Ruminococcaceae_unclassified_SGB15260,Ruminococcaceae_unclassified_SGB4191,Ruminococcus_lactaris,Lachnospira_SGB5077,Lacrimispora_celerecrescens,Clostridium_sp_AM49_4BH,Alistipes_ihumii,Ruminococcus_gnavus,GGB9602_SGB15031,Parasutterella_SGB9260,Pseudoruminococcus_massiliensis,Streptococcus_thermophilus,Sutterella_SGB9281,Clostridium_sp_AF34_13,Acidaminococcus_intestini
DANA.Cognitive Efficiency,0.005609268773011337,0.0025400609957794405,0.009941044890128148,0.006128842030916108,0.0039056912393408564,0.002005650587221804,0.007486416826230047,0.0029198304349294037,0.005389829248166326,0.00580201421095171,0.006251578872907323,0.009866552885525938,0.005033424769533082,0.007685178904904214,0.005756477002067692,0.0025114775746644122,0.0034238528856017367,0.0029332451805057624,0.001791031927844994,0.0023871925702052426,0.0017417394083956105,0.0018789218671736916,0.008793148066535108,0.0008932199927716319,0.0009775688106575448,0.009498112136029314,0.002079560214788445,0.0075758588611805466,0.0039058501394943997,0.0006945174619935905,0.0013482001764031524,0.002061285211638005,0.022317667607976113,0.008866427949404303,0.0030622353302261723,0.004000799329248224,0.0036237149431011494,0.004493661435120709,0.010561436041131298,0.009976116031177911,0.0051708368304856055,0.001970210759313419,0.0011918131115229839,0.0012772000355978112,0.0029101405342640834,0.008142303450512048,0.00030310376557835753,0.0017089623730912986,0.005645734992305983,0.002848287895682483,0.0061247843909154245,0.0010804326688343148,0.0012752731588576106,0.004769110101239491,0.004294172481730122,0.003772787039385991,0.012801868824417667,0.011542613696072717,0.0009687469755740559,0.0007832342006069669,0.006650981068987877,0.014524002045529377,0.0028138705205859285,0.01073376551067367,0.007809948015637151,0.005080880581943936,0.006296181189812632,0.0014426164286175855,0.0041853538680748,0.00449793159131492,0.013363684650825568,0.0009110998436206411,0.003890661416438376,0.003221690421289757,0.001246128755569461,0.0011908531131984454,0.0007785766357344488,0.0013099107168897946,0.0032397168804535943,0.005555074644985936,0.0008631843483694592,0.0005662823108879675,0.0014361394322895064,0.01167586268389113,0.001551142761949958,0.00039992105782745476,0.0009800707231496259,0.019146119364098834,0.0001609277349302246,0.000915648289056018,0.0015351927623090602,0.006563752749269547,0.003979685575178863,0.0034455107714657113,0.003755998523843913,0.002101542417751703,0.00322237945146058,0.006502274221176644,0.0031776853883645753,0.003178896911894586,0.001101381641962688,0.0018921929761899416,0.0023430225829080787,0.0027239029242810426,0.006625763770498121,0.0044013579769419,0.0010648490630243738,0.003562817038939256,0.0072970683655776475,0.009853258217323649,0.0037442221872275626,0.00653770621660552,0.003907709812701499,0.004820179961965722,0.0,0.0003006801071566506,0.006682480099210901,0.0005374247057498457
GSRS.gastrointestinal,0.010803001527692011,0.002827404531495055,0.007177522061518893,0.004646538580063506,0.004203341715857083,0.0022293279485045025,0.011017790509879052,0.0022151640954499252,0.002123084309326184,0.003438220281564416,0.007863163459740814,0.005523829703338906,0.003782480157649219,0.011358602139930805,0.004305160872851061,0.0017360062336246283,0.007742625595709687,0.002239670768252649,0.0031385204081812944,0.0013925605147071384,0.0017696698125681102,0.0008591363596705188,0.01055660881491577,0.0011469138332713044,0.0010336373879127664,0.012525657956750237,0.001576878561520502,0.009459943954609359,0.00360775567526305,0.0007848653386516981,0.002057790739361367,0.0023721978737394657,0.022566310786668747,0.00608605687170187,0.0018228897760088894,0.004243772709487415,0.0027808887915959663,0.0020482824013233064,0.01065865457099866,0.015884899636969447,0.007720986190300814,0.00185743189062502,0.0008098156252611453,0.0020383870768725465,0.0026015644739715337,0.006936691066958933,0.00059725422771666,0.0023353546250721277,0.00462850714000898,0.0021826701950227205,0.005941220440590999,0.0010695871123400978,0.001977007392375323,0.005707814574937341,0.008320996456755433,0.0020729583242140785,0.009247190452172942,0.006685069042740878,0.0012525554397406547,0.0007793690710519766,0.009803146807027579,0.014530461953414252,0.0015536899683106426,0.00690762981159282,0.0072041116629903024,0.0035094752504142347,0.006953322888896132,0.00293741035182667,0.00330271437247583,0.003922103919638265,0.01794194684240886,0.0009084422771503017,0.005176237168327567,0.0043764693004407895,0.0037681143169934176,0.0014437688041329475,0.0015482433773230865,0.0005895404939718318,0.0013981968940345176,0.004368126635950587,0.0010220945930881874,0.0006571692310483294,0.001992025033889198,0.013083277045341823,0.0019091837771137148,0.0004993538023368127,0.0008984936288154899,0.022372365358519088,0.0013909904439633723,0.0010881009361971804,0.0018580551275300694,0.005853507687492409,0.0032783548662583856,0.0026243842609813862,0.006496786966280141,0.002507537866270313,0.0039868861363823675,0.005853871193664598,0.0035489027297969274,0.0047155800450381,0.0010882260967740745,0.000964576576516169,0.0022767441548250263,0.0016096959047699894,0.004404332405098199,0.0020467599134017444,0.0010938887634496474,0.002194834270918646,0.009415505053331464,0.014347738502385701,0.0025977781732699763,0.0036588662266102846,0.004628358154807756,0.003551125970568881,0.00034390738759830183,0.0,0.004866423464008992,0.0008333191185681681
NLT.Orthostatic Intolerance,0.008883121977081052,0.0020244166550801284,0.007185191691049056,0.010369262472183236,0.004117379078549896,0.0017477613141650878,0.006259431650169537,0.0026178404586677355,0.0037479998836600892,0.006871599677456433,0.009730644859145456,0.008261743661121326,0.006451159348738841,0.009981543331336948,0.003611406719222231,0.002201590002674569,0.006912902123834952,0.0025794674216535023,0.0022097152610049036,0.0030865435453282307,0.0026045055406131896,0.0033166251128021445,0.006790713932885763,0.000993363261336726,0.0013643062530644145,0.012713589619014922,0.002233201773202575,0.009290213884060672,0.0025645542555527987,0.0006757751885918632,0.0016002892001865407,0.0017477997936819099,0.02520767184417429,0.011532287321006097,0.0008893348904252929,0.0022716550972127873,0.004860854747020218,0.006004841338527136,0.01246458991895477,0.01482427940163966,0.007966081728264808,0.0036001138140348142,0.0011791327043380005,0.002093172659887204,0.0031840692078760877,0.0140936916246455,0.0010397558817195687,0.0034447278470540253,0.005054148392289098,0.006542142805558006,0.0047358607640734605,0.000878694281317451,0.0010248206569407835,0.002494401904579286,0.005282057334029581,0.002461690197485666,0.020120691097571784,0.010655216210789041,0.0007858925015989841,0.0006161502086890055,0.009903335271388928,0.017264914605516896,0.0029053460492981012,0.011106753782500737,0.007270113636871507,0.007837601694700722,0.004135212821497868,0.0018453638576817473,0.003861830062844733,0.005812786268881325,0.017244336253720363,0.0027774085877074425,0.003528748625826468,0.0041320028997440155,0.0014002909150796967,0.001012463456596431,0.00041867199067035257,0.000546489324880086,0.003819563273366514,0.008354155460742687,0.0016238842639851837,0.000637459718147466,0.003466491463886462,0.013032895298735105,0.0008430675373360862,0.0003857212346779012,0.0003383628316123378,0.016576886430538843,0.0006378949711757949,0.0016242230797308308,0.0023838832722101132,0.0040438738285108935,0.004772970819126232,0.0022192990394617044,0.003529243275478546,0.00356035043068522,0.002797717883044044,0.005780828103051461,0.004288271814190325,0.002024594298321769,0.0018693871735355897,0.0012104783881076578,0.003579201653887761,0.004379042261287228,0.005832943903434533,0.0075163391854894054,0.001035831696303855,0.003729622421500868,0.007043507964370712,0.011011244668978168,0.005404152702972148,0.00790179345915466,0.0067539834994838925,0.0053257681994347585,0.00010773302846753843,0.0,0.008473418089570004,0.0003317115237347753
PSQI.sleeping_problem,0.014373923814464895,0.002221917470186577,0.007829136055894035,0.010083268852613398,0.005472753683658798,0.0037505465502993625,0.013628414675700242,0.002174698726879061,0.0029848778572280905,0.0021815263146768194,0.007969810548552681,0.007568965928061653,0.00441015590251429,0.011781265054328175,0.008558043149193999,0.0024168195718045093,0.009009611783640195,0.001828620489725446,0.0027837944922632267,0.0015336490613887706,0.0023898768449179255,0.001758760485593565,0.00893886385210394,0.0008178112500499029,0.0012596742787796087,0.02032273330591032,0.003140357715306554,0.01075291822241965,0.004033037136491443,0.0015208663539052038,0.0021125472348930622,0.004791327390639294,0.023313960396006396,0.009689589629179107,0.0010032196002102635,0.00550966093828334,0.001228098074096711,0.005447822936557394,0.01662305414653621,0.014877635945208403,0.005079211219980582,0.0020766010029850098,0.0009771996266373718,0.002870458805071504,0.0024143325102246515,0.007442193023655899,0.0011234495384644663,0.0017521883229069234,0.005138305308768514,0.004651583699235434,0.004424228349551982,0.0008624025622100943,0.0012717619026460236,0.0069852356628186145,0.007618438497889381,0.0022487350088654613,0.009075852114728458,0.01135143498756603,0.0008497498814863275,0.0010281138139619011,0.009621083887421519,0.016521734474046458,0.0015676545465047754,0.004971228347881911,0.003997131191972492,0.005177880449419531,0.00692058436267318,0.0028923830635896636,0.003032422863535797,0.005632097982154918,0.022085589904890377,0.0027675680834811397,0.0057049595725716055,0.005288611740702708,0.0013856027366854898,0.0017683178343760899,0.0012839551530209356,0.0010411940380985456,0.0012626548025354775,0.0051318123259744865,0.001621807913083939,0.000558043847746206,0.0026724867786402234,0.009329590502772581,0.001827562291206493,0.0007465148867490499,0.00033972624785415717,0.015241743836379046,0.0009760349610801593,0.000746064753723275,0.0022411170555698434,0.004810227116433606,0.004847898549894774,0.0027563484110684424,0.0071851032914014125,0.0030325032571227096,0.0027644035451088473,0.0074561429008659875,0.0038593026623984397,0.0035431652185487863,0.0010347080792327882,0.0014586647228606248,0.002364266410138859,0.0010323355931239875,0.003926034969902486,0.0021520886248004327,0.0016039182312133605,0.0014191007932764085,0.0064613259878545486,0.013446298035197713,0.0013854572885004855,0.0034013937749789707,0.004513201768066404,0.004158947331725173,0.00021756633336878175,0.0,0.006696707179996017,0.0009325807302935997
RAND36.Emotional wellbeing,0.02210336105143102,0.00191322800902349,0.0041611149385955,0.013223089852277789,0.004584213683529796,0.005349418561052641,0.016381731447564045,0.0018285294769904707,0.0026908936729349684,0.005166468957032083,0.005598312318738292,0.005546802575464433,0.00033432874278624825,0.013804817490471081,0.00750900760013098,0.0018651257080828057,0.004790263733610158,0.0037934234781748424,0.0029969512515092694,0.007230808968813125,0.0021776183733029733,0.004247158608611113,0.001952115304358728,0.0009380363775889134,0.00163463178426772,0.011115405343633098,0.0032435452044780105,0.003951621191844583,0.004270836562067967,0.005413087059573872,0.0030512582182877323,0.007262680360248458,0.021812669280842783,0.022196401397965238,0.0011443084330361184,0.013583517654982896,0.0028437532842623997,0.010633863303319224,0.0165806681991966,0.018188406733491883,0.003744661925856876,0.0023717225960396553,0.0033216375823933997,0.0035094371340970818,0.0021634710756395395,0.003177893767160382,0.001053221334019613,0.0014758580019927886,0.013072190681287775,0.005276686499870471,0.003306691787701242,0.0009791069364543349,0.0011696642922179928,0.006685504288826214,0.004965344222484,0.0038464874041783752,0.0014219718884138366,0.007648286589100931,0.000763811131875891,0.0009977569641113535,0.01414361871160435,0.01687048811008946,0.002019764823864726,0.0034506112335047534,0.002865871768293439,0.00970324063775637,0.0025093373741644667,0.002141983857088129,0.0007088967448042943,0.003910189426645442,0.019200624329605183,0.008768151159931264,0.0026551272903710833,0.004716578093011465,0.0015230749951467984,0.0016947393480943912,0.00045577265077623673,0.0017335801228697844,6.533843856113804e-05,0.004245030508750881,0.0032273262665945372,0.0020564219010570746,0.004486886388813476,0.0062429140052947495,0.002276327556880611,0.0008458345133188301,0.0016146577808437911,0.013697846337137401,0.0004628917944060898,0.0013413879663724264,0.005458431199496901,0.004627069703167547,0.0042497240792220255,0.0038821685079115363,0.006602127064677248,0.0014454806958029258,0.0016354222306079395,0.006349675411224164,0.0011192356258990044,0.006945026682191928,0.00123623313785246,0.0026431219686706446,0.0010270046235872706,0.0006763132125739744,0.0010504400484227835,0.0013050220868627623,0.004781070686240761,0.002609365606615542,0.009073504695092341,0.00879075626245413,0.0018039481653071455,0.0019465508732170263,0.0015882053215286094,0.003806658341932933,0.0,0.00042427106419208876,0.009418603599351073,0.0011536610417051793
RAND36.Energy/Fatigue,0.006600986790945932,0.001828578951859847,0.007777803746415365,0.003988568107892668,0.004293549580949,0.002790232172190831,0.01074948510429923,0.0030658038370984736,0.0031406607015689618,0.00280821489923325,0.008239425379428112,0.008579422406409193,0.001983525345492279,0.008459837419488879,0.008026076778699518,0.0026478999499518663,0.006001064039385501,0.0029172986277731187,0.003919581041877553,0.0012127801294065175,0.0027731998123164546,0.001043740362861969,0.00921699243003154,0.0008278917950934475,0.001398753552058761,0.015100711823934524,0.002692101648915924,0.010042304623531126,0.002043513862494625,0.0006581580208972502,0.002420745681765113,0.002977488595622201,0.023334980449858135,0.009919200011715298,0.0011511996945387426,0.004267092521460869,0.0020114905537957106,0.0027499491132882813,0.018020873028028996,0.013719309651795901,0.0087307885097245,0.002075013100642963,0.0013238154711500227,0.0028142502494840137,0.0018546544133587457,0.008883511548310347,0.0006190497111086028,0.0018301141677071605,0.005405267053093268,0.0022725749069567587,0.0037648169905736,0.001059257235929371,0.001784352645143803,0.007072906273785291,0.009471276061670354,0.0018634998817241351,0.0030271300251258413,0.012455139264754236,0.000875142263635311,0.0013094946419522251,0.01166574878625592,0.015280186762959691,0.0019687902015112554,0.007857291873859648,0.005629227825249244,0.0020414792512437182,0.006574829718722828,0.0036390763513456225,0.003357298329617422,0.005501587391533176,0.019949793758340505,0.0013071784139910534,0.006823685853565326,0.002763406167682158,0.004071874036893028,0.0015092004123127688,0.001547285483690288,0.00028183983129321697,0.0010198003808038463,0.0059983505220442745,0.00222915002558008,0.0006583367315032279,0.0023363515212334496,0.012718773491726686,0.001658311269216164,0.0008689271885865427,0.0005779923453584888,0.017526355028086256,0.0013046995539796168,0.0008385642309630574,0.0011763160774242959,0.004080346388814672,0.0036728739988031956,0.002102546455085868,0.00693106458237085,0.003805579177644252,0.0030493114840718662,0.0070662749770281676,0.0036318465711109604,0.005176725790532361,0.0016085718607920592,0.0009528238737304438,0.0019709208174137505,0.0011684050755262768,0.004084323653332392,0.002958281721263376,0.0013419590596261768,0.0029616518217244637,0.009355037769177477,0.007158436893524013,0.00257506544906284,0.005479206461376472,0.004847697771183517,0.0037527576715108354,0.0002510860624605031,0.0,0.003515587351494265,0.00130425422083937
RAND36.General Health,0.00915311793820551,0.0017910726187402143,0.008897158133726765,0.004654881976438989,0.006268676810560433,0.0027768176857349454,0.005314266718498559,0.0030805241235951266,0.0036078288398125316,0.0026639325207703066,0.008631882249307223,0.008479252868681498,0.0027314172882790203,0.010805594348122942,0.007214169287353123,0.00264184120527265,0.006137040007961292,0.0026517459260823628,0.0033495270195077463,0.0010610049318564019,0.0023474412246457968,0.0017903039514072495,0.013898134609016873,0.0007679300766275871,0.001397361498679641,0.01805285930900908,0.0033747590290755004,0.009206063165172558,0.003587159010792523,0.0010478309651763508,0.0015377347415433484,0.0033677568194342925,0.01929185561854152,0.009373316935891218,0.001032474608929807,0.0066547261850308514,0.0022779616113941677,0.006141393823060248,0.017078492088547916,0.01036177644686702,0.007699800242297442,0.002284598800550655,0.0011251144807028336,0.002549387653132388,0.0030003699270795174,0.008328457210300556,0.0014254572790495523,0.002432915059536812,0.006703516525490484,0.0034479709082576066,0.00651897364648875,0.0011462804777157376,0.0014194791864630618,0.0063420943325684185,0.007979734194036909,0.002969897152055625,0.010462022216712552,0.011522093720333115,0.0009637369796217838,0.001074294404267686,0.011809349930477173,0.013498572392878145,0.0015238239277217658,0.00904392055141447,0.005029058287434652,0.0036320345841985595,0.005875055548419691,0.003357927090183711,0.0037871094237189942,0.006270054914202213,0.022599336613354296,0.0030784198912988305,0.005557286009097678,0.00558952833484833,0.0034401141514362903,0.0010485736822441936,0.0016232883573925325,0.0007917475189238892,0.001976830968491113,0.007742337775429072,0.0017816723433462386,0.0007757722313055049,0.0019465763440210317,0.012143486845299473,0.0015740245933868644,0.0007216506298403214,0.00036692263367871946,0.015928349983269575,0.0016368028013444824,0.0008323970706443039,0.0015686157600186149,0.005222726766979227,0.004568218994918601,0.0033458310118749455,0.006030285130759242,0.0026378459682875914,0.004198284801956983,0.008377559894494858,0.004386069374346434,0.0024511117639115115,0.0012554956342945823,0.0014406094104205838,0.0016140435402945072,0.0018147690708183663,0.002677539766200455,0.003851942860353979,0.000984355727454367,0.002157941216909243,0.006673717374103862,0.012227930369749519,0.0021900058251537184,0.003310116459592826,0.005870071964481487,0.00263661560299563,0.0002801565684467305,0.0,0.005575516873496361,0.0007894419513975347
RAND36.Pain,0.012321294853544386,0.0027826997566068557,0.00956129619666016,0.008597423043585026,0.003842892253281687,0.0025708766799523524,0.01061820429294695,0.0025705069579308446,0.003984032671766855,0.003865949102947181,0.007581194921255808,0.007747764723896269,0.004587657122209979,0.012274409517289748,0.007562421660565495,0.002563792628280847,0.007424631872405069,0.0027939461683995676,0.002982985498385925,0.0014895004013025178,0.002981458364967648,0.002269994334758527,0.0058293344870549895,0.0008979246574086826,0.000869624965591383,0.013796436835958981,0.002055460726012212,0.008278299363516251,0.004107696931176975,0.001572223467695084,0.0015564821016736054,0.0026497443774937826,0.016035195155134428,0.010380454704003214,0.0009172456650045321,0.006642938228551238,0.003072451188535349,0.005335050317351562,0.01623863927475217,0.016785916594700308,0.007137951257632336,0.002286330406118176,0.0006796765663298883,0.002997011385019771,0.0019113123940904294,0.006790121414498258,0.0013208774886277121,0.002187074114375948,0.006039715076699753,0.0038500682803877437,0.006894307367694953,0.0008880515842095149,0.0015977476503930147,0.004768371578467468,0.006922069828666078,0.0029821367539445694,0.009508166633717197,0.01237149316870106,0.0011661562401773828,0.0009603883911042462,0.010095689650655338,0.01686924323138305,0.0015297009771159757,0.004681499729371991,0.006239113857602309,0.005834817155682051,0.0044520861821003566,0.002480494039394063,0.0030048790023760523,0.00509494148318065,0.022030210243710435,0.0019382693708786696,0.004995750450057694,0.004573556498011009,0.0031506783358430795,0.0012446958863002338,0.001176404651140809,0.0011631320627750355,0.0014328472415015515,0.007832621981853855,0.0015422812221202538,0.0007878765156005218,0.0026555306140178757,0.012510640026636988,0.0012425656253716598,0.0003054322102024718,0.0005601834039884084,0.017311123455852465,0.0010446539387749883,0.0007741520306165558,0.0018516534139153534,0.0056191463181472084,0.004628411437539884,0.002445211396692307,0.004621281349361079,0.004073000414074879,0.003998674193836774,0.007958111943517091,0.003345489358710863,0.003052253989853533,0.0012999601626532077,0.001303483539054519,0.003641413710816726,0.002271465710883344,0.003892467511157091,0.003475541705070487,0.001444402103591023,0.0021119363789084446,0.007410094818327116,0.011233862253210177,0.0020265467131693536,0.003916395256457186,0.004737867010041399,0.004161045624514214,0.00023856474489389196,0.0,0.009316838227190927,0.0006962835630984614
RAND36.Physical Functioning,0.008527562006170823,0.001155921657121623,0.008742511907946704,0.006418809976708363,0.0029020891213293433,0.00196467528607268,0.011690687853089509,0.0024646185618420876,0.003225214935119063,0.005121502606856276,0.009023130064436023,0.007356127709746912,0.004443086982181179,0.012267141566730005,0.005063812912954866,0.001935493884437369,0.006461275222349737,0.002729414852382018,0.002651593144727829,0.0015450893189995173,0.003189650383621112,0.0014718130874648678,0.007985261422875216,0.000670273873725463,0.0013035475561914997,0.017014276775594247,0.0019597378682087723,0.00738865768626195,0.004105856944895625,0.00043293589698192885,0.0012660679546019386,0.0028713578707529903,0.029679892679569553,0.01127238055566907,0.0008620727239939414,0.0036768779248309716,0.00306996649921775,0.0032454003401752736,0.016085718467834173,0.016923402365515226,0.008721132357170758,0.0016097777534581738,0.0007257486637907698,0.002599129358811355,0.0034644323864533246,0.007090053293360095,0.0008107870178925516,0.0018295973485678112,0.004077701718098052,0.0032637308410155544,0.004300069059471583,0.000856700527628759,0.0010938140858745143,0.003642166798774603,0.004312370843608743,0.002576762772224453,0.01303985168015353,0.011076501967658107,0.0009215209039682584,0.0005379966376336693,0.007843526288263217,0.013310523229574812,0.0014946103446312144,0.010128100261852003,0.0033062495557831186,0.003505264287934897,0.005430236446525057,0.003222756414022902,0.0022985766350287337,0.003963605138259946,0.016338340762689058,0.0014772472958594263,0.004651600104092759,0.0049419643854718654,0.0035499733106225144,0.0011795644404877193,0.0006136871523479234,0.0008406173119593065,0.0015876824585310775,0.008541518895299064,0.0006858423428611575,0.0004910110372513144,0.002146198460856804,0.01420579453640998,0.0008068220025589279,0.00016644667953396629,0.0006286887986266854,0.01873596329149497,0.0008970010842337596,0.0007297757587150458,0.0011696559137916863,0.0038115940557156814,0.0035505202003334865,0.002598036530772897,0.004193069330652754,0.0022864439201573626,0.003746232163689939,0.005634976338132501,0.0036408408460348305,0.0025255888094834235,0.0010468692988684276,0.00121484970810091,0.0018594594090976396,0.001970110643794147,0.00386735574516464,0.0035715781784325315,0.001105657450708465,0.0018692839074735577,0.006300296913822586,0.01056676709218159,0.0027942246060217364,0.0051098008759014974,0.005375137899448624,0.003952613834474347,0.00011013576908271756,0.0,0.00635832689981274,0.0005116585186508615
RAND36.Role Limitations due to Emotional Problems,0.025501192990055332,0.0032267904840873876,0.003867174366134233,0.007930489326244855,0.002448097090850071,0.004808994362136305,0.014411025934893056,0.0045246007927987565,0.002129253038899582,0.0056076945429957255,0.0026145498758940178,0.0063078572447028535,0.0010535556261918651,0.011451667159165044,0.007826375673195414,0.0019779608795224106,0.0015828988693933877,0.0048318756191948345,0.0034764149797825872,0.008745259481579828,0.0018201980378422414,0.0031907343175866638,0.0024614944853904933,0.0005291172926073714,0.0011201170618206726,0.014776889056447948,0.0009418405845829942,0.0027380960717929437,0.003544559934003321,0.004834275715940674,0.0049946136509493675,0.004725959680545303,0.019083638006997968,0.01521704191956615,0.0009066266962973467,0.011851114534752712,0.0019503641760808183,0.008971362633498773,0.012886260041171995,0.010816515806172782,0.007223021875278402,0.001512920850653559,0.003711486696621254,0.0032730273070003366,0.0018565601606018005,0.0020605608387977174,0.000513381705088534,0.0014501821498404028,0.017068419996138912,0.005209738607837024,0.0032549383923723136,0.0006397640207859654,0.0009847918439808622,0.008141612088939792,0.0020949008353525617,0.00392501729352016,0.0045956904214114165,0.0040039885446920345,0.000505781322165624,0.0009714236004492893,0.009552224363452506,0.012547138277120373,0.00176962859252887,0.002565068028084807,0.003328334376465807,0.004838595920107481,0.0010550189287455705,0.002065822852127494,0.0008889631991621132,0.0025740079737518163,0.021974239683997962,0.0059669652792732454,0.0015380208897052038,0.002499534282926468,0.0015590496818166646,0.0006939164691012403,0.00047058090052673685,0.003211682793131934,0.0008395806048188932,0.00283220013927099,0.006099117880693134,0.0022380426316848247,0.0032062454313297505,0.005453866137459147,0.002673342396722629,0.0008174119375946522,0.0017526871089608659,0.014821908948865358,0.0007214687297529263,0.0021501125200236574,0.006457133176084808,0.004725822122871073,0.003338374589844274,0.0036510994473942992,0.006490765192666547,0.0018280898604398474,0.0005835107062564967,0.006883047227296608,0.0004695446930368555,0.005837497709006808,0.001320997722128732,0.004054053127407478,0.0011604011337454643,0.0011194879479143418,0.0012485317944913872,0.0018530142235404627,0.004436391431859174,0.0036681094421065217,0.007044320756702044,0.005874055285989885,0.0032816742616532824,0.0014151063929417312,0.0009118068483388034,0.002402854907510994,0.0,0.0006659026532885539,0.00792561924302115,0.001797697031891352
