,"Cholesterol, Total",HDL Cholesterol,Triglycerides,LDL-Cholesterol,Chol/HDLC Ratio,Non HDL Cholesterol,Glucose,Urea Nitrogen (BUN),Creatinine,eGFR non-African American,eGFR African American,Sodium,Potassium,Chloride,Carbon Dioxide,Calcium,"Protein, Total",Albumin,Globulin,Albumin/Globulin Ratio,"Bilirubin, Total",Alkaline Phosphatase,AST,ALT,TSH,Sed Rate,White Blood Cell Count,Red Blood Cell Count,Hemoglobin,Hemocrit,MCV,MCH,MCHC,RDW,Platelet Count,MPV,Absolute Neutrophils,Absolute Lymphocytes,Absolute Monocytes,Absolute Eosinophils,Absolute Basophils,Neutrophils,Lymphocytes,Eosinophils,Monocytes,Basophils,Vitamin B12,C-Reactive Protein
RAND36.Physical Functioning,0.633344845408093,0.12643378106557135,0.2942126846196958,0.08527067227057847,0.1936140991213856,0.9152153355896352,0.14681994097144008,0.7273602630888389,0.1982225464506332,0.23321680960180358,0.1720006921478941,0.030763867328450545,0.38997652310313413,0.09623646537033591,0.18770950684435014,0.05360370877024001,0.025470687916874377,0.06056457648625482,0.03535807482510242,0.35669694931810697,0.09436875266118434,0.2993866304450931,0.0,0.05616537772973888,0.09014004878232712,0.05610048292329251,0.022219985280916628,0.03441699276148189,0.07189758502352837,0.07124443453285574,0.019735447287205266,0.07499243927790024,0.10888937715123943,0.17849008178074888,0.1987011976875999,0.7191931749921533,0.09912714502943258,0.025104668295568424,0.04631281092637837,0.13483097997097002,0.180995936111589,0.9343411709902726,0.7879410049967052,0.013192302284104259,0.2282868879775715,0.19432812693782986,0.1674949394614456,0.32844141217147166
RAND36.Role Limitations due to Physical Health,0.6114305084644616,0.08141956607289086,0.1967148208431182,0.16564136618277986,0.015574450127877322,1.058505628281116,0.24196567415819514,0.7047281443404547,0.3215164461684078,0.21258208259677308,0.049321564318232515,0.03457679796988009,0.0181341143345817,0.07534303355438067,0.03722048884466677,0.0393882555951422,0.3395921252187701,0.12671287528086195,0.28345602523518526,0.3990789280161738,0.29347010635511667,0.05464851394248595,0.133740762565775,0.038179210048424374,0.21786235123359285,0.042845454926047445,0.23635429436434063,0.29394013256782486,0.2525535091966996,0.04805472569514417,0.19689716226504084,0.6937400213539225,0.12061617334123399,0.09007164745470783,0.03758266622050634,0.2852814510054014,0.10436117999660662,0.1515616415013153,0.3398711598889633,0.24695030499071027,0.04858563834322408,1.0870123542392354,0.9795285575120912,0.016148303653469597,0.0314485818067501,0.0,0.1403885704234416,0.1646051328367213
RAND36.Role Limitations due to Emotional Problems,1.0777879834905895,0.0,0.08131622072076813,0.5857635162502498,0.37635871440621277,0.9360108523570099,0.1600713405804463,0.014098195483375783,0.012116041709234077,0.2362343481034225,0.13017605424081388,0.08320367256772052,0.3011855412646227,0.21022378171635345,0.07000091471870445,0.021526399278159688,0.13133118982419895,0.29736147876690033,0.08837765098439193,0.16656557135526193,0.008437711284155965,0.31843829852090655,0.7950190430165133,0.24467396494142743,0.6174892065901079,0.5441316842421708,0.19322754671873413,0.24759340729976817,0.8756392611342133,0.0195183119973069,0.05910619237921391,0.23384771242416774,0.30583915070604606,0.10078063915828907,0.09163644443615213,0.18352844223825104,0.21546081056936797,0.42107223390997744,0.6915043198635465,0.08876727349287411,0.0955232105329422,1.0258921649945056,1.1117280355478796,0.2073332674123707,0.17551037388335344,0.1715051806895762,0.3700827894719958,0.31355433648554115
RAND36.Energy/Fatigue,0.6022312104675701,0.2702339133125872,0.08026300750298254,0.0697940553785945,0.09780968772035167,1.1843600665701757,0.19139845231150554,0.5333897730727798,0.12750570829903707,0.03566860323106152,0.15009956395866725,0.1061563904854106,0.06911902903274394,0.0,0.0912302379951722,0.2746706696478506,0.018432162282516564,0.45428174540986915,0.3775328062463737,0.02519423991652607,0.11438173674259039,0.09715240844009854,0.0063089021737676495,0.302099953841892,0.43749325268913675,0.06756596200117915,0.4310381170057331,0.00012737728511094592,0.24671672498608138,0.27473832154394057,0.1551836301202672,0.3497395220469495,0.7550238473323296,0.07700716560334224,0.14054888317594097,0.0495308900517081,0.34625341925596653,0.08671131352134066,0.20117440964839678,0.016258759019859282,0.05700483024926228,0.8555781942487135,0.6336091678202856,0.1014849124629798,0.018713783230862154,0.26482472969369086,0.015635349624799125,0.04472973928447324
RAND36.Emotional wellbeing,0.030946161167458647,0.03238798822448862,0.2562852823690839,0.0,0.3630834200512206,1.1012527034070987,0.28173911618513187,0.8906093707688866,0.03741325244554106,0.0710780121707701,0.33140797419692813,0.08639220970716548,0.4466646851982143,0.05841435102010387,0.1140298269608885,0.03941492363900788,0.1745317891578928,0.04724574599960143,0.4548831742120319,0.3339738056089531,0.16808830961927712,0.16990281633263318,0.17039445675887058,0.14962614351500178,0.11023580989644059,0.25047937461033914,0.19298156360198732,0.04617140508103994,0.7927353381374187,0.8171538445955312,0.25200727984771826,0.0426550171490125,0.04093906185782783,0.48884349927766263,0.23507000182321436,0.2142154038076327,0.23951087776081845,0.09607132860541384,0.10563214533214586,0.09561557584691635,0.1959929921089774,0.9261750807993683,0.7027565583691819,0.16002532055038982,1.024774509869717,0.05691263308224013,0.14266339261188202,0.36911893350531244
RAND36.Social Functioning,0.0524221976402286,0.19555269776784695,0.01665853341139884,0.07758291938111439,0.13120150865897076,0.9743333170452239,0.1956944713663294,0.6928859093087122,0.1949041585152956,0.3495012172187736,0.09190126842586943,0.05906871738750226,0.2197437678583828,0.09066690102647249,0.16407858521933394,0.017290730039632905,0.13181580860718548,0.07221180998471365,0.19920964659147813,0.013403080446646252,0.04825151337460789,0.14590961737322533,0.32627318013481393,0.5197103862998903,0.28221090507198654,0.3880070473125846,0.04692917999323488,0.03904953093884782,0.5096280877622295,0.11184966703235177,0.2307132531839012,0.1846154260465821,0.0,0.2516481309191473,0.08957321137686788,0.05832154982183081,0.013925938199641934,0.0021808016635651963,0.012507009823217006,0.17807536383449377,0.16313351083471175,0.8775965745021036,0.6067650265445683,0.06746343214408224,0.4052013071762427,0.00203112670539797,0.03858520086356087,0.06116158130974027
RAND36.Pain,0.5216010744942473,0.22704324352850902,0.028668601369016767,0.011434587456282048,0.036387627503964515,1.1414189206309595,0.03623388565214095,0.5928128000442292,0.17188392091622973,0.07913171265788067,0.22159758644408828,0.21914589570047197,0.090887661634423,0.09444340190658632,0.09593608513146673,0.039036523930864125,0.0,0.023329560220598174,0.1031165952521038,0.023349430584939206,0.2887743375456944,0.24465726050308925,0.008441661734506401,0.10936058452916035,0.24194455488261044,0.19313554182738796,0.15574389706739655,0.1328939233084708,0.1786977229190597,0.3262591254302951,0.015603309465157183,0.058012681908989554,0.3993261839452425,0.06540757377607913,0.30043768666311627,0.2666179090838953,0.10862299514128482,0.27272124813321486,0.1564146391729437,0.016191450077226735,0.27257413058527624,0.7989043073606381,0.7801202353507023,0.1810190361942957,5.1661999010860126e-05,0.273066588004061,0.015235553960561546,0.06743376692903583
RAND36.General Health,0.6190631163398935,0.1581905810533779,0.10469218511372684,0.43095790963075786,0.12308789430146604,0.9206108904741034,0.01756068732571988,0.706723666208685,0.24137328114781428,0.037799843278157615,0.20131397254396222,0.09386708337997769,0.3083114134819588,0.22263807871642388,0.09041688431909278,0.02713896749466825,0.0669039874781901,0.18631948037970825,0.11564749419917168,0.10714053257649293,0.4231177968609768,0.10032205204707896,0.07730142113556177,0.08683074729796535,0.04068956419836431,0.0735061216642117,0.06123087076053401,0.5007411791196134,0.20877493721864207,0.44317646054914217,0.09182792112871445,0.020040656152722252,0.018897388812032914,0.04533705574869491,0.2876253884430468,0.011581034691670666,0.3603133970784547,0.16020368139184918,0.10000666285027704,0.0,0.18095385446130413,0.9599071444911134,0.8513236536999748,0.2553795553962158,0.3295200936970207,0.05566918972151218,0.02772555872726579,0.15548498652812992
DANA.Cognitive Efficiency,0.26087623789471187,0.29045912363755105,0.02306881902738104,0.2096088110004136,0.07954334373869001,1.1273235106006312,0.34069344468823903,0.5784116713705929,0.4995971206521273,0.04025588288964122,0.043254409544786,0.12296967708489091,0.13751256728129735,0.0987899916852334,0.024741463204099343,0.09591989322692057,0.08304634061068167,0.14755547864216367,0.20165634437057398,0.03379432147588601,0.07628616340362109,0.1799896130362997,0.02400541117951802,0.540829264507779,0.2630268632544882,0.02017711000852967,0.021634167000812676,0.10155352360202123,0.12577383066496237,0.050150473187651576,0.030215096005879044,0.10027595150783306,0.09283614642165303,0.0908830160339987,0.31404824575531565,0.06772192028344255,0.3258888536176784,0.04890308346239364,0.020121259091506482,0.35679019510150856,0.2704326211819131,0.78005248910301,0.41017796031233766,0.062423817191910876,0.15376328529097325,0.0,0.024975373262566204,0.014303595969523825
NLT.Orthostatic Intolerance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSQI.sleeping_problem,0.5242157239818862,0.1598420865877072,0.1979751858972418,0.17968656070216343,0.07751524862558948,0.9049130827142725,0.0,0.7241970536824904,0.1718680176764392,0.021961108578928676,0.0597129875024119,0.19995080729390877,0.11801302222123607,0.043517544574849805,0.11746286052226153,0.18870456975062577,0.037676733248885666,0.3338649652809391,0.12722456800671628,0.0660483166750692,0.03455876236460832,0.07859878074133703,0.3128298392151884,0.4250880652270365,0.37699427154969295,0.2542764519742539,0.08192924042299202,0.3920380842833362,0.2030465457199674,0.3204646037984295,0.12580746140081117,0.022910420405672698,0.15744866416416653,0.05537914150592935,0.35286678555286133,0.18048912270551548,0.24146175879025195,0.34880874421667274,0.05687426546308865,0.2256602578747194,0.12812925593540103,1.1263332862393163,0.8509375897943374,0.044707280470036394,0.03401423500812976,0.024680509751259072,0.0879354243556689,0.045313261347002996
GSRS.gastrointestinal,0.5021715278094537,0.21984919735064898,0.03308958044421028,0.022483331595310945,0.1400627273409047,1.061419704740071,0.2544902137503044,0.6597179442538815,0.2782543912967126,0.10498418208488128,0.06206335033056484,0.16581920526195457,0.09686783102162594,0.08045547683524412,0.358511578052716,0.019606496974601616,0.14678425429559466,0.03864538256501376,0.31653009883761535,0.029314142040408192,0.6449960481635131,0.07675107559883314,0.17104306383741058,0.07406889492904634,0.2616574986359431,0.048788126436666336,0.19532669163653968,0.10357828493398105,0.01648130612797557,0.30235231265751555,0.0,0.10552406741609496,0.11810683616989044,0.39593115601763285,0.4117620197056206,0.22497359891305713,0.40367438523562066,0.1021466918643522,0.06055680706664585,0.06322964620774982,0.15649573227119584,0.9261452092940144,0.75185707930203,0.1462403697983643,0.10356433452471565,0.10938107314048823,0.010939718974920343,0.03852056633722348
