,Phocaeicola_vulgatus,Bacteroides_uniformis,Faecalibacterium_prausnitzii,Bacteroides_stercoris,Phocaeicola_dorei,Prevotella_copri_clade_A,Bacteroides_ovatus,Alistipes_putredinis,Parabacteroides_distasonis,Bacteroides_caccae,Bacteroides_thetaiotaomicron,Bacteroides_cellulosilyticus,Akkermansia_muciniphila,Alistipes_finegoldii,Parabacteroides_merdae,Bacteroides_eggerthii,Phocaeicola_massiliensis,Bacteroides_xylanisolvens,Bacteroides_fragilis,Clostridium_sp_AF34_10BH,Candidatus_Cibiobacter_qucibialis,Blautia_wexlerae,Alistipes_shahii,Eubacterium_siraeum,Ruminococcus_bicirculans,Barnesiella_intestinihominis,Phocaeicola_plebeius,Dialister_invisus,Lachnospira_eligens,Ruminococcus_bromii,Ruminococcus_torques,Gemmiger_formicilis,Dysosmobacter_welbionis,GGB9615_SGB15053,Lachnospira_pectinoschiza,Roseburia_faecis,Bacteroides_intestinalis,Clostridiaceae_bacterium,Roseburia_intestinalis,Sutterella_wadsworthensis,Odoribacter_splanchnicus,GGB3293_SGB4348,Anaerostipes_hadrus,GGB6612_SGB9346,Lachnospira_sp_NSJ_43,Phocaeicola_coprocola,Rikenellaceae_bacterium,Paraprevotella_clara,Parasutterella_excrementihominis,Roseburia_hominis,GGB6613_SGB9347,Bacteroides_faecis,Escherichia_coli,Clostridium_fessum,Coprococcus_eutactus,Roseburia_inulinivorans,GGB1266_SGB1699,GGB9635_SGB15106,Prevotella_copri_clade_C,Prevotella_marseillensis,Ruminococcaceae_unclassified_SGB15265,Blautia_faecis,Dorea_longicatena,GGB9758_SGB15368,Blautia_obeum,Faecalibacterium_SGB15346,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Ruminococcaceae_unclassified_SGB15234,Blautia_massiliensis,Candidatus_Gastranaerophilales_bacterium,Bilophila_wadsworthia,Flavonifractor_plautii,GGB6608_SGB9342,GGB9059_SGB13976,Anaerobutyricum_hallii,GGB6601_SGB9333,Prevotella_sp_885,Clostridia_unclassified_SGB13972,Prevotella_stercorea,Alistipes_communis,Clostridium_sp_AF15_49,Bacteroides_finegoldii,Lacrimispora_amygdalina,Clostridium_sp_AF36_4,Bifidobacterium_adolescentis,GGB1681_SGB2313,Odoribacter_laneus,Clostridiales_bacterium,GGB3746_SGB5089,Ruthenibacterium_lactatiformans,Bacteroides_salyersiae,Coprococcus_comes,Ruminococcus_sp_NSJ_71,Clostridia_unclassified_SGB4367,Bifidobacterium_longum,Akkermansia_sp_KLE1605,Akkermansia_sp_BIOML_A40,Collinsella_aerofaciens,Parabacteroides_johnsonii,GGB9176_SGB14114,Roseburia_sp_AF02_12,Bacteroidaceae_bacterium,GGB9342_SGB14306,Ruminococcaceae_unclassified_SGB15260,Ruminococcaceae_unclassified_SGB4191,Ruminococcus_lactaris,Lachnospira_SGB5077,Lacrimispora_celerecrescens,Clostridium_sp_AM49_4BH,Alistipes_ihumii,Ruminococcus_gnavus,GGB9602_SGB15031,Parasutterella_SGB9260,Pseudoruminococcus_massiliensis,Streptococcus_thermophilus,Sutterella_SGB9281,Clostridium_sp_AF34_13,Acidaminococcus_intestini
RAND36.Physical Functioning,0.36187284590958185,0.18174856473327,0.3716691089693155,0.45708957347747353,0.04165891028350738,0.12792496094449815,0.3097981881463729,0.20829488412266128,0.19324542333072653,0.13396567642357435,0.501134822518505,0.40304884454951706,0.114754782429704,0.3294625772776529,0.24829666671214873,0.04437281433404238,0.1339749121361422,0.08766113457349706,0.13857654723871526,0.15716661253873634,0.08320917775155545,0.01235876018582922,0.5045903905202896,0.11416141176423023,0.11008733466704226,0.7212543294576891,0.11076314313793575,0.46834349042803414,0.12644576492367046,0.08708503361415994,0.04965684090963209,0.019574620067103823,0.922805219385643,0.2882510634133072,0.19026442087387324,0.2210707409446132,0.10177552950658614,0.23570481593187073,0.7358302422541745,0.5468724273631113,0.41334580714613844,0.12688052213463843,0.030586250699580354,0.19524826466337172,0.09755380888480994,0.004261491452797469,0.15702713757900133,0.12461204594111272,0.2609998597176138,0.18042899653525907,0.36258540626391084,0.18405652690921115,0.17188047789218552,0.2427975090520379,0.19256179750584196,0.3700771529550201,0.49864664782791257,0.5398986314258631,0.07993060282796254,0.05862177810809467,0.31266681666753365,0.68554985371645,0.07988125055718542,0.3939516487170275,0.03358310376592703,0.03440786759040405,0.02684708180929824,0.041240816928881555,0.2760396130636391,0.43564913132894156,0.8503250033978006,0.2948702954519613,0.038791018374848565,0.04049384595861209,0.05120439310460911,0.09383850656864318,0.02420910404614893,0.07574976662798887,0.0687297018562538,0.1080794423406981,0.12409670029649053,0.0607560611028001,0.17816411027192128,0.5906825476774104,0.12547002782550942,0.03266130543554327,0.15565016169989387,0.9425942956711956,0.3552794279868894,0.23576100541447226,0.18838764279508102,0.09954864885337185,0.09785109509828696,0.02497939892566619,0.1561866682913199,0.006016330532586214,0.12766540447719174,0.0371737305728246,0.05592085550246329,0.3987270254934924,0.08030713588403303,0.0,0.23470910189717129,0.06818679136382035,0.017142038795152567,0.21611932830964128,0.18603209760694367,0.01968814750258574,0.06141169623288018,0.600591580921722,0.08326915133689632,0.0749174392365681,0.04848329179889156,0.3131748784086337,0.1383143301034345,0.0879527038138478,0.11929967145656917,0.1680468747428686
RAND36.Role Limitations due to Physical Health,0.5411891981596296,0.16708404610608954,0.0942344470601808,0.03421318445218046,0.045566381840646444,0.01396328270416363,0.5050316197593663,0.01608201530413686,0.07542050626240923,0.05610994645287907,0.027894438436530965,0.4289043882224118,0.05333000757630815,0.35975523026127293,0.2988690076194469,0.09113620215637874,0.42167700002970737,0.013570877570075043,0.3877740264453074,0.27020344148733305,0.3613087584212516,0.16987674330977115,0.2810584477757367,0.11218264118325452,0.02431844196698237,0.6230223914714123,0.09407334522457696,0.44979553137039174,0.16065897807754334,0.039019563365224046,0.09244030434478645,0.04929955829297102,1.0858792495067335,0.4613795862422378,0.09618695621673029,0.32046317772431987,0.09615306625952205,0.1771874825863029,0.8740152281917971,0.726892548593484,0.047483320548198836,0.3122645731497204,0.3470890676189471,0.30385896192402734,0.030119031371386825,0.42284457825001426,0.045906147024493756,0.06320134206584667,0.09226604247199398,0.09594106737115969,0.056197920040444,0.11774814468828643,0.030831862385385708,0.15214271883794778,0.12286431044481377,0.05019585816304568,0.1712340719283635,0.48238307687358517,0.09129826701892038,0.4381144529013432,0.4058348490366301,0.6715520651689428,0.11513138674208011,0.12912310484727121,0.0600565669334634,0.32322180861194755,0.22371272296311231,0.12317982659348234,0.08205164028137586,0.032422745337198286,0.8911333147164053,0.09803758158910018,0.0,0.268329155842553,0.029787653020853868,0.2026526515505951,0.02420559400374761,0.35740690193701297,0.051038576643859024,0.089211045332558,0.061271239656405026,0.04024320456901112,0.08765681025185512,0.5889108383836307,0.16174353066614314,0.12991696571007663,0.19754828758460546,0.9269874344197814,0.33267853530523944,0.05254336083931007,0.08506577112580962,0.40698058525079167,0.020419452969095725,0.10510522997187537,0.04561446872404827,0.04085268286402466,0.19625322365595266,0.4478344827536204,0.11606753564409926,0.04418927650824184,0.13891780578548313,0.0001963147407966327,0.1565834307724909,0.12278985286383695,0.20637206874188155,0.3569446494807118,0.1482058554280958,0.13028679087382455,0.34468424696169153,0.45254288132024567,0.020895848736023626,0.08613723744955533,0.05386221430543069,0.0518161002270425,0.2046967692124147,0.12543675625862355,0.07753959745366602,0.14553385560789803
RAND36.Role Limitations due to Emotional Problems,0.9918655738782061,0.17674002307940623,0.03450848995134431,0.37356764854169927,0.12664317809540585,0.13458163589959787,0.6455638254887175,0.16094649382320766,0.04363786765339087,0.18165424629842372,0.11161249565845612,0.14421632743564505,0.11320297200218021,0.3997303995458003,0.297157815254903,0.054467845633273754,0.026772702515570956,0.11090882846195702,0.017620469484254952,0.38341286655198503,0.10400146030590901,0.1674309553163747,0.10040308034737624,0.08595470349969334,0.2515446214867599,0.6794800173855631,0.026404129899217057,0.19390370315518007,0.08079247255617306,0.17581851246572436,0.2496625223918376,0.0,0.9014613503386498,0.7321194633308536,0.021037972234273842,0.48707295752364826,0.2640284714129665,0.4392790792099236,0.6718135870852373,0.543943826271635,0.2541302901787282,0.05653432763423199,0.18101674849712648,0.08193789965928834,0.26342692215051916,0.14297932513807368,0.20199393248447656,0.079908031884056,0.7539521331838038,0.14537552032563347,0.03208090981548187,0.27704320456150733,0.10853815957819414,0.28790335499555897,0.2505822244968581,0.0759242812449576,0.13981800237609723,0.11940745193564548,0.0762828869008261,0.03504684389944378,0.4334896497486484,0.584548832456636,0.159407517754114,0.12808949238768702,0.09543910302268588,0.1070125109311836,0.15995305323761086,0.0876434150679816,0.024779887253519213,0.09437640678767265,0.8415509813347555,0.044136647756938784,0.03485686124264677,0.14671100907369194,0.030574039181603455,0.04710381391919909,0.29525709646245624,0.09504577761263566,0.09777761592089311,0.19483358784340934,0.39204009350324376,0.02986936134671347,0.019318320864029643,0.07749026685679286,0.052425154413145256,0.06115711068351634,0.20369406229243125,0.6320551670857986,0.04287582121738996,0.28362758384267045,0.017807759216119625,0.35057717484625384,0.07771362272080543,0.12237657231330724,0.15431326004742413,0.27430869929138074,0.16782481333824123,0.4214383481489213,0.0345753594862895,0.5531398262625413,0.09780218451948562,0.15985306595706125,0.23939741723002825,0.09504108755359714,0.062689420712818,0.058344723007997916,0.10559487233929492,0.20589693667882136,0.5023929276228534,0.08158824686028783,0.10045112567426283,0.04810625619236558,0.2240469380344582,0.0782969945729808,0.18401382090635185,0.11379110380780189,0.337884126050567,0.2192181691853481
RAND36.Energy/Fatigue,0.4848424265574479,0.06081015004452094,0.2101202944120629,0.19442748750203265,0.10997893046999181,0.13436164408506565,0.469491656401127,0.21378821778100354,0.1830353187239948,0.08574443475664063,0.3667801799505337,0.4939376128680896,0.12822948183248892,0.44053784133084595,0.06677039170864457,0.052079216972046954,0.29911248437167093,0.33822828268714916,0.03461584647573188,0.20885234737013392,0.060361643998177714,0.06392089247184365,0.5087752878839701,0.4497871435438553,0.055642374227581476,0.707258600427178,0.15617772681557357,0.34872992688404636,0.0778421288852864,0.07978707738729435,0.3680091229698401,0.13572281593923927,0.986924023157062,0.4424370175128835,0.09686245100981711,0.08818584534006652,0.1851159907906425,0.33393706040316423,0.8073352204072195,0.7741199231408243,0.4658563149418059,0.04745822188408392,0.18481798228854604,0.16530447862005962,0.02488046155074443,0.3628103770195788,0.21382018701495137,0.10763339700485083,0.19665765656068357,0.170241453001506,0.02580166952193749,0.05395933313273095,0.07297834463974773,0.1129642141255003,0.36793487547269216,0.03956135304584122,0.2055893724168909,0.502657146355623,0.03609850710877873,0.07370291957758518,0.3755414816459676,0.6097715768656623,0.15077131852044756,0.34362078724193906,0.33134637569716324,0.039410703677101394,0.024522830993888266,0.10834265163939583,0.40688083900823957,0.00957766810529425,0.8022616657771544,0.21673446753409426,0.21645277681712224,0.07480422651975074,0.14022649340014287,0.05624688117287512,0.3368941478348435,0.09338455844305693,0.14023479863077892,0.34485735224795855,0.10018999660576464,0.03979704245785572,0.1338866642176573,0.579964066373554,0.15350200028371372,0.04699266709608793,0.07354668948105211,0.7980301950153087,0.16680230311498548,0.1629269744387449,0.1426955854906396,0.07645946596305365,0.07389803585866721,0.07585318673124337,0.024342048038992935,0.15458575860703974,0.12880766135884905,0.10327766705084342,0.10611984559922882,0.07886939797031704,0.08611960211647954,0.03408850915624264,0.046739853357543416,0.0,0.3937510969767518,0.17097957489174231,0.11950094465290027,0.03762520068051811,0.5170139476297955,0.5713866161702783,0.14473327903506195,0.12355673772482273,0.09353248857245029,0.21998092487469356,0.10973389689335597,0.03673573505982349,0.2900103104036464,0.04858880823254874
RAND36.Emotional wellbeing,1.0676973873366395,0.1753515476351206,0.115646869594662,0.42832486488575683,0.14180355785896734,0.1886381874232145,0.6651777114532205,0.0908801434999732,0.1788259709570868,0.06860618411874939,0.2801708338113822,0.06129893970729498,0.24786471066995183,0.5811372684324833,0.5111413342060624,0.0,0.1743386573833241,0.09209868151880013,0.14845990233316605,0.5345367694081086,0.06545899171995012,0.10542064074550067,0.1801738818767005,0.14798152073475832,0.2915255264974833,0.7715699179392447,0.3945302154782772,0.02548411934556295,0.0492600116925674,0.07896564528210459,0.020623809788079747,0.29617477890293203,0.9068145433406207,0.8700285159868776,0.044623212281765946,0.4406793936337276,0.05854862863395927,0.4854931257886417,0.8381242495040941,0.6806254673111668,0.09348547796514366,0.13488217302970568,0.2501155101061999,0.21217188100140558,0.056377185652709355,0.08728242513809674,0.14826719249338569,0.035555529489202056,0.7327782997593558,0.05801422291575092,0.07285527000865863,0.08878976132962303,0.2111558276473623,0.4707674471081159,0.1397020568373134,0.1447207362754738,0.1506873882123349,0.09906738937718194,0.4466236912993184,0.2907146809163208,0.29255323835209895,0.737425690854927,0.07022192774735113,0.02609218983734471,0.3028805755763059,0.3244042654497057,0.3161621324770348,0.3810985713049229,0.27889159276310455,0.06324828881442582,1.0054693556634475,0.055852664538179435,0.155284036943477,0.25198721019337716,0.16745994434979747,0.16658026203101653,0.07677208127225657,0.21525815594721642,0.17373830621386796,0.30143319298676435,0.029046128699861118,0.03590179416813515,0.13878366447189489,0.05096274242921693,0.05135082838443564,0.3611981636210291,0.021201693883404444,0.6993849904396671,0.19647401842240386,0.25170659549525953,0.14005468266503443,0.0323582782190637,0.08211679324914853,0.5092187908273622,0.0021133187404590533,0.27515124217656584,0.08369191820475037,0.5523845632113447,0.21589401512736967,0.07696164892758352,0.11873432360599152,0.14281906308952796,0.03489724388216664,0.05686022270728511,0.08124229315370285,0.1589386404747982,0.24247214996128952,0.22667010568215132,0.418403393213543,0.5162082789030646,0.0588271147845279,0.13558637069952598,0.18234789873143895,0.08049467278971134,0.2485549693626852,0.06533222352235339,0.3909071947577339,0.07307340755161587
RAND36.Social Functioning,0.536245050021995,0.13111853304931073,0.036384421211590974,0.33596380086856836,0.05272088714319763,0.06302924376449176,0.5022686153874519,0.18110716945297273,0.25076136493965734,0.1821001712489561,0.35890230472714835,0.4567101824683789,0.02662109906245834,0.3254064117733558,0.04511060334883085,0.10681228625667451,0.07517423675602879,0.21773350147490036,0.1904925072084251,0.2247954654615671,0.1384115975268586,0.060592670385854634,0.34564446575719465,0.07018893559820787,0.33448165850844214,0.7457870582080045,0.09350703130138242,0.46947772393189774,0.08136088917125625,0.3028718439795142,0.09493256569243504,0.033404247554083055,1.0367530045066713,0.4986045121420046,0.18559399141427607,0.19650202689221352,0.13475147665309856,0.06029813357805354,0.8309189508867734,0.6230490792091669,0.27133861171775814,0.04309452356289696,0.10291955577228805,0.147583289347226,0.0757484816985988,0.11580331934073072,0.20976539895851642,0.026365418506857002,0.368647232178537,0.10868756391879593,0.28540362211711734,0.14798289769563794,0.11440849168687219,0.02950501803416203,0.05834854317833936,0.35387500643291,0.41831206605719945,0.5687947457316678,0.21058996526469867,0.07233164001872047,0.5620151433370615,0.6880391277995771,0.014879506356753627,0.31737851573937764,0.23401629770493063,0.03990669577698839,0.11380573266806085,0.14373045088157588,0.11785680440622687,0.3418287218631786,0.8664527934295875,0.05601060577640043,0.08552768898331599,0.2532098163977226,0.3166713219115402,0.26466954922869884,0.12353352490769089,0.19385415831120337,0.2203067067332385,0.49764319822248576,0.21225340619835759,0.07463173631356482,0.13913939628628288,0.5617876831510029,0.01306774596553525,0.256492867079498,0.07961636659456844,0.9171745256729208,0.08060645967165493,0.04883569004669943,0.1605610338306157,0.35305469874764256,0.2881275337940532,0.10367582422505851,0.5058408286327098,0.10861884848995827,0.043358992608900006,0.3630641911375795,0.023298570385075733,0.041361332231030154,0.27608350910218976,0.3024891465177588,0.14957449805697454,0.08568095310317017,0.0801964209093405,0.05626064446515898,0.13344967900443735,0.2636607611357582,0.17516470064375578,0.5164485649347307,0.09319918766214097,0.10365242833482786,0.1792209050581983,0.0,0.2420155590756983,0.04246304208729235,0.12165257838163135,0.43221027678502116
RAND36.Pain,0.5453886708016407,0.08306363966818486,0.38630444294354077,0.4564658626942635,0.08899391634145441,0.17791503545888143,0.4282862204739302,0.06566874767664468,0.22583916441133273,0.4051483537837609,0.39192915481464663,0.35376318429685916,0.14335742943259916,0.3251163744804699,0.47913737394190503,0.2888724633376914,0.32377781142670453,0.38525966266623574,0.1429225263788921,0.010278778900785575,0.19849265926691984,0.09540929815793929,0.49642528735748587,0.10236734848111352,0.34991906837784154,0.8434140256415051,0.08702251263412604,0.5596759808302432,0.26663703005488226,0.06999165621349744,0.14883500375757439,0.08693470984637652,0.9409935396495919,0.39482632769451154,0.05314144403456545,0.09045566530457265,0.09199572934567347,0.19912080557566306,0.7573372101776783,0.6789769081481357,0.08014695556454146,0.07866375888499053,0.1271019280280507,0.1398222842363468,0.03268525631686593,0.4701911459524599,0.15445191949083628,0.23045244905063517,0.20634222351800344,0.14049776497435074,0.031566656377394135,0.12730569240230374,0.09694008464431461,0.02266438818879532,0.13799764142535328,0.13839983188560265,0.5227654697305996,0.4945345629879372,0.02002172066912939,0.04054854049252873,0.39125240411607237,0.6810411184742443,0.17456244548584757,0.5294232379681915,0.29956353410782116,0.10416259390804607,0.061076814980860906,0.12236579625807888,0.0,0.06673245790827816,0.9330720284831201,0.043114203369634445,0.03968044660902441,0.05190928834579473,0.2545753952061258,0.24204916325656475,0.04037584920631815,0.24378081648227512,0.4624356037894878,0.2090433779335498,0.1189204883131025,0.22456976056944022,0.2550209965294222,0.6001296994099424,0.03595046529656036,0.08509506532687444,0.2120171091957925,0.8789493493707934,0.23036751624121696,0.08604744205358307,0.12905549798017102,0.13842905999676353,0.24076418038483527,0.21434128227331534,0.16747540685724963,0.04703033157829425,0.2539375247530341,0.1962920675812683,0.057391122922124733,0.24931572191642493,0.2079637128814606,0.15965940718346183,0.05259252326014553,0.20284742019661073,0.5399719746140098,0.2025197721080747,0.040149162239846124,0.08409731276124685,0.1364057037433819,0.5298630552633683,0.045815480548466125,0.05332465033150682,0.0689714345328883,0.07000584810447692,0.141628103238308,0.3061015432421627,0.05518291736440845,0.18725921423005956
RAND36.General Health,0.5592577289223216,0.0634074236244535,0.5115484024386469,0.44457907845742534,0.46350021453860935,0.030814490384187834,0.49083969095160357,0.02571424143967603,0.07164253999198837,0.15115792645527665,0.5131928668716271,0.47743184641789166,0.0958022560266981,0.425488547832066,0.18238405992079748,0.01521503499398897,0.028971200530133787,0.10889668311908733,0.11485463502068867,0.054828559185085966,0.03630292074562258,0.162647417455924,0.33427829335327963,0.1226533247731189,0.03936510256703542,0.7678725926757688,0.14696711655898972,0.362622144369231,0.10603636974935562,0.04597745510549476,0.0729776121536279,0.0754020243006528,1.0564744761439828,0.45126312426696363,0.1741702261931249,0.24381883978098218,0.20990092223417806,0.18666301626653048,0.7893223323339407,0.7011439600422305,0.46401773325096596,0.06519439866008557,0.0,0.17073320148671844,0.3919253544011183,0.07109061978907072,0.09912331455421985,0.2032822696596229,0.2744937027325154,0.23448712347565792,0.060782684980191494,0.12148708085050702,0.08659294980698969,0.12300303199498046,0.29790969127563843,0.07186340952553304,0.3126291562722091,0.5703176302725421,0.049642552877383256,0.09791160603816644,0.35897620481498727,0.7140949649949901,0.13609253140632543,0.40966894950881466,0.08794204534730216,0.0859764628032552,0.3233916171525297,0.13358289517228192,0.22506685269958704,0.09380681080205332,0.9576616115477234,0.05605520363672418,0.034833494526593366,0.09664603307176352,0.07798752295838172,0.00989135744101452,0.09875981261415427,0.0698638185688816,0.16239278800078835,0.47739885247966823,0.048444163571183634,0.19664845123515,0.2841281601752345,0.6278941426774717,0.07489840150015606,0.14673011379428189,0.13593400895575464,0.94574175830479,0.035111017706240845,0.14251365854066161,0.0792227886048173,0.03562706565265274,0.4503496511191289,0.12146519986384172,0.16660693032186713,0.2416930762123798,0.11827808339599849,0.04719260582638171,0.17360105989092575,0.2446965687564754,0.2495029182004255,0.1939716429383944,0.17112336853538745,0.2818509856714921,0.09787288219282092,0.18749428257096548,0.06665429894188805,0.11615237027243834,0.48416609590427495,0.5413962176452263,0.19272656749004252,0.1034416225127758,0.05999176332360156,0.15736123001806562,0.1555796868393931,0.13184413326554423,0.21000850919786399,0.21277865815084823
DANA.Cognitive Efficiency,0.0761105258396134,0.2861385630521511,0.4182470619299285,0.42134429203429763,0.17162717372457145,0.026745544119124845,0.03950568687695757,0.1996801244260887,0.14173252469477865,0.11382811808361247,0.4018229431039766,0.4085722245811702,0.029226038736000194,0.36931299382522875,0.0958200694596072,0.12339850816712046,0.04538291540187898,0.23260127601021124,0.06911793240168239,0.08021196423333239,0.3561207432789778,0.3726263860938292,0.35331227804200593,0.05428633587222459,0.11419811710562505,0.6959908092990247,0.0675657581720106,0.35338838330240746,0.37033408870603257,0.03503401032834508,0.07085570195209862,0.12664823568544742,0.9946476366182633,0.3667580826340661,0.10328748372757635,0.22112169904781198,0.029630114929298124,0.2713796823200823,0.7811094628965012,0.6359463644381239,0.20951930477731548,0.18046753179905314,0.25162218117237833,0.0700018619520519,0.070483444945486,0.3874845166858368,0.0,0.015664135992162976,0.3150413954282909,0.04740473155969611,0.30648212397883184,0.08876109856481364,0.09319968672813263,0.1555878455248746,0.013442305200872721,0.020267409979775015,0.6235785714785541,0.5231182974699813,0.13075240713267355,0.19128711862138248,0.2756665460484931,0.671418638308216,0.05529963782344659,0.4359655228879549,0.37739235474966093,0.019382084686875724,0.1257314995859554,0.050228949998012126,0.10155550417231116,0.06765931916913527,0.6852309945225936,0.2276188906448454,0.13236335533672952,0.32567461608713116,0.30656830477997327,0.12285995964448607,0.3821456329337597,0.007640445678274021,0.06775799385188526,0.04194140551558492,0.037358348636081784,0.13228669810199814,0.02684864409310777,0.5401016114989715,0.11462811572534881,0.016553564841782532,0.12480123229485028,1.0153428499500519,0.20170979958408664,0.05657643514923004,0.05602071496557822,0.44542747342181066,0.03846931142486739,0.14842029794360936,0.16942041905569527,0.18897150085747141,0.1285662593648592,0.27661100022427904,0.26457094397967457,0.10558882499291361,0.38210571720175945,0.11471318843199636,0.18850864335581377,0.11067153753292254,0.2964901869636298,0.051201608119686645,0.34636532408103843,0.15881831990188058,0.2951051337942423,0.46074150167286393,0.09610158899582166,0.11701448119825715,0.16676160988798408,0.15797042999913458,0.3345060415465036,0.09936664864284689,0.36069650114185015,0.017811531514223145
NLT.Orthostatic Intolerance,0.39161079028560913,0.162348840191355,0.47576190971207594,0.5060543953719759,0.003983438885018907,0.1306362686022283,0.08357143719360263,0.07213803069318857,0.20983824823774222,0.1993147173876086,0.3862640451694928,0.0,0.08298588216713759,0.369410051470275,0.08267139536889899,0.18878309619297157,0.11180126020517793,0.1189290577610663,0.04297026764551571,0.10260998837998266,0.1691920491536453,0.07114292744557231,0.3469871273350292,0.13833069247877502,0.12193751003198475,0.7890011314936342,0.08543905206937151,0.4433353779273557,0.08068182586460179,0.10276811718685275,0.34338008953917437,0.28497133503275074,0.8955982859816773,0.4297087824337146,0.03424698313326083,0.05832538528801903,0.2157065296058944,0.3351398578389343,0.5838853703679715,0.7227213989400333,0.4647084598581924,0.11724559997010381,0.40652318807386045,0.10127846642769729,0.05845034135456901,0.4497760406912621,0.0808788077734934,0.2361199772371229,0.08547820472155646,0.1293455343882514,0.16900671479297835,0.06859125988603741,0.2745968711366612,0.053278407139878775,0.12484649749268706,0.13340357826181112,0.9136942068142333,0.5033745846645539,0.015487690226629774,0.15439660571523559,0.44816110650004504,0.8473928739359519,0.16542704685907486,0.550936278468021,0.27177094710032423,0.37766522567493954,0.02925253524622372,0.051459248947267625,0.05403666223014386,0.021191896471948454,0.8306343597318578,0.4428714436802462,0.1524845689736241,0.020293536492248024,0.02310193930089285,0.08239516586112411,0.08065997129034995,0.45416347412094843,0.1522488482773072,0.2161144210045584,0.18366699573995382,0.2312874132811442,0.19271012796925768,0.6569529918111977,0.4714328236752589,0.24028083072860165,0.2738024729498793,0.9765709784227625,0.15049773984041456,0.11224835212857086,0.023878183502925282,0.2809478992183324,0.12291645857621904,0.13915441853075936,0.12139562281900343,0.03124646363943858,0.3469318049416061,0.3670431839585279,0.38779892101590413,0.06503389077118549,0.05150342524592638,0.2418073560167003,0.0375450754336236,0.29590302461588314,0.15731105759073913,0.3070203840827307,0.058602728656929226,0.20117795815735603,0.05634588188197091,0.5133815097973907,0.018637924042611942,0.11549580646426479,0.13762343883551345,0.023659510836037557,0.43870055668151964,0.4296990898502278,0.13024956393434792,0.27909611023944947
