,InChiKey,Molecule,database_identifier,AB003,AB006,AB008,AB009,AB010,AB012,AB014,AB017,AB022,AB023,AB024,AB026,AB028,AB029,AB031,AB032,AB034,AB036,AB037,AB038,AB041,AB042,AB043,AB045,AB047,AB049,AB050,AB051,AB055,AB058,AB059,AB060,AB063,AB064,AB065,CD001,CD004,CD008,CD009,CD010,CD011,CD012,CD014,CD015,CD016,CD017,CD020,CD024,CD025,CD026,CD027,CD029,CD030,CD033,CD034,CD035,CD036,CD037,CD039,CD040,CD041,CD042,CD043,CD045,CD046,CD047,CD048,CD049,CD050,CD052,CD053,CD055,CD056,CD062,CD063,CD067,CD068,CD070,CD071,CD072,CD073,CD074,CD075,CD076,CD077,CD078,CD080,CD081,CD083,CD085,CD086,CD088,EF001,EF002,EF003,EF004,EF005,EF006,EF008,EF009,EF010,EF012,EF013,EF019,EF020,EF027,EF028,EF029,EF031,EF032,EF033,EF034,EF035,EF036,EF040,EF041,EF045,EF048,EF051,EF052,EF053,EF056,EF057,EF059,EF060,EF061,GH006,GH007,GH008,GH009,GH011,GH013,GH015,GH016,GH019,GH021,GH024,GH026,GH027,GH030,GH038,GH039,GH040,GH041,GH042,GH046,GH050,GH053,GH054,GH057,GH058,GH060,GH061,GH062,GH063,IJ001,IJ006,IJ009,IJ010,IJ013,IJ014,IJ029,IJ038,IJ043,IJ044,IJ047,IJ049,IJ059,IJ061,IJ075
0,IGLHHSKNBDXCEY-SECBINFHSA-N,(2R)-3-Hydroxyisovaleroylcarnitine,6.91_262.16,1312.879241,1533.353346,1240.49642,1261.128853,1176.691305,516.0748761,1366.309363,997.6660549,445.1217591,1453.911566,1061.544913,1112.840795,1234.118319,1573.606445,1335.112892,1911.265743,546.7526149,2721.30057,1851.147844,1957.07862,2848.591286,2028.264393,1260.551075,1265.46317,1052.387915,801.4623873,1973.575715,2095.640975,1469.978099,2155.127119,1870.067034,2384.145786,1891.056801,1088.87892,1856.628147,869.3341256,752.9194055,1777.448443,1937.579875,1926.101093,1238.091114,969.3933386,2378.80144,1421.241885,2296.574312,870.3169565,1521.123174,2170.287443,1778.800648,2111.86477,985.8897493,2215.180522,1529.049776,2042.453872,1819.864154,2101.984643,1668.226735,1282.504773,2429.63216,921.6579592,1842.315627,2973.048357,817.2971625,1767.820949,1917.951716,1347.318545,3063.957947,1315.312799,1098.732576,1849.338964,1266.992879,818.7984193,2812.846338,1293.656359,1861.633292,1333.49773,1197.109145,1499.160393,2675.044555,2930.059933,6989.104904,1081.983791,1860.939217,2435.451139,1095.254992,2172.267066,1104.079434,1158.797329,2128.107038,1827.414602,1485.313731,1223.237936,1518.551222,2326.768201,2448.042588,906.3811559,612.7543837,1056.115876,2454.447216,1767.990841,954.6315261,1293.619309,1277.381152,1530.188167,1746.059499,1622.543333,2069.548963,3232.77003,3737.936341,1355.456072,1851.620674,1945.236777,1775.351254,1893.838707,1035.542378,1750.915842,1354.878612,1919.375055,2018.701987,1910.385513,1068.438604,2149.277422,1383.611857,1505.854088,2274.586893,1748.245968,1142.00069,1828.974849,2537.368803,2363.674765,1706.844743,1692.981712,2051.784134,2787.911776,2052.776889,1787.104738,1856.163287,2474.836533,2157.609657,2671.518057,1556.322361,1454.893383,1026.884232,2291.554613,4292.087464,1496.828597,2038.921362,1455.242656,2160.892447,3707.272995,2540.480275,1869.284108,1959.904763,2124.007208,2251.039975,1620.561167,1714.1788,3169.390119,1535.019818,2506.414091,2015.932399,1719.748653,1136.515804,2340.708823,2081.699413,5216.600194,1572.147342,5708.818915,2037.862571,2409.690065
1,JHPNVNIEXXLNTR-UHFFFAOYSA-O,(3-Carboxypropyl)trimethylammonium cation,7.56_146.11,11401.01559,11597.16782,9543.125967,15745.53251,10177.95034,12930.84076,11219.58103,14352.99093,7423.460285,12545.46894,14095.62763,8750.616168,14429.86319,12770.72568,13468.59094,10726.86934,11560.17279,15693.60201,12329.52219,13606.35612,19376.84011,10203.6758,10482.41997,12988.00641,14002.77884,10919.59219,20455.26879,12575.08368,9501.243485,14734.84851,16726.5974,24767.38315,15016.58207,23944.06087,10629.36924,17657.85096,10236.03114,20960.99256,22892.21319,9165.223154,10819.47926,10379.45453,14240.1535,17615.28425,8138.147584,10895.15892,10152.46835,12320.81916,12859.50387,20974.40823,21934.97062,18829.65148,15515.49308,20357.35274,18637.9191,41141.66186,28777.22547,17123.53031,10845.39182,14696.9645,17701.04261,17216.78492,20603.31847,19683.31351,19228.94891,11835.42956,12978.55244,13009.83972,19152.71326,22024.82977,10321.17591,10582.89174,23105.52349,10259.19524,14231.15228,17507.0472,17224.63004,20923.20369,23212.4834,19086.60524,20357.99785,7028.173944,19048.89831,19819.23666,19190.82685,19018.33512,17701.18678,28201.90743,22761.25554,22163.79951,17123.41526,17936.86436,20381.88597,18887.50102,17511.03694,15631.86335,9482.10016,16855.28505,14699.20228,10743.39953,18371.69632,22006.78095,15224.02249,8572.385169,12102.89456,20402.13925,14715.37143,23035.07116,17428.77696,15199.74041,14191.73529,16214.54447,19762.71906,16803.49973,10457.37759,19332.92619,11844.49144,28468.46444,31859.92877,26197.59154,2163.285577,26297.12568,15866.91826,29362.843,16583.24211,18545.32717,18125.51197,13958.79642,21455.3207,15603.36014,14712.15645,8512.412336,15791.03489,24752.6143,20540.89766,17426.21793,9932.34272,12577.98044,21802.65732,32236.11341,13445.60466,15954.6015,13786.76932,22571.08984,13886.8738,14133.17593,21423.77154,14378.52204,13225.07733,20195.60958,16963.43712,10661.47482,17926.68876,14738.54935,19310.61369,26269.71806,13481.9801,18662.1647,17828.79971,18394.68109,18236.24666,15789.02067,17810.16459,15130.04622,18180.54105,26660.36603,18165.7126,30166.601,16523.59582,26390.74023
2,QWYFHHGCZUCMBN-SECBINFHSA-N,(R)-Butyrylcarnitine,5.42_232.15,21958.36758,22886.71846,9822.012753,342.0566127,21318.82162,408.7828021,12441.85175,17571.50574,25317.49112,22417.5622,24935.1041,18758.93998,22785.32891,18798.92993,16891.27146,50358.5873,26452.80276,43448.56164,24272.44975,17778.87357,29240.18774,17513.19243,9917.570958,17606.49341,319.6602345,28968.4719,19113.80641,24788.72189,23077.1631,31544.84003,51827.57209,39397.67363,31213.21011,28560.5209,27772.26877,33448.09572,23871.21793,18717.86574,20155.44822,18967.58965,22785.85096,33498.93201,35000.03154,32809.19344,30212.53527,28576.48654,25309.34654,31167.38917,20890.51349,28902.60522,27318.61749,30138.79594,48978.95406,46035.83529,61611.81471,34362.02125,23777.57383,21387.32303,31318.69415,22882.21517,46804.41145,33946.54237,14159.05418,38434.26607,58472.81148,33839.18697,29988.18683,29163.44849,37740.47202,24259.2046,41844.84785,23695.34133,41087.11107,52275.15255,69118.85152,36126.2315,23362.1267,27891.20736,27230.51943,43282.70545,25221.50891,27051.95512,28485.56731,24440.56974,34122.4683,106510.8113,33732.95225,46989.6618,25903.78571,35755.50921,29408.17046,29868.38261,53279.36934,33014.60316,51703.601,34664.44025,34641.27258,30816.89368,58913.01457,34331.07103,36065.81738,59519.83431,31847.68374,17311.72061,37235.16424,30729.46638,39777.63495,53041.80836,52657.78385,46532.88886,24801.63535,15073.11286,38127.17849,49896.26213,24083.62154,36670.45041,15516.27731,42987.47645,55756.18279,55482.07946,29329.24486,44388.31017,30718.88736,36436.94674,59374.35554,27548.44001,35982.25003,14991.28222,43564.58872,79426.46216,47484.61048,35784.85663,58159.56029,63943.81952,35673.68006,30599.78848,68369.82545,63513.8369,43901.13491,70601.99586,31059.71965,42888.88174,32803.46556,30100.48357,42962.48161,51493.73462,34536.11773,27318.70881,74788.74484,52523.2253,52264.65036,34247.03297,36442.44721,60526.1707,26462.51647,25378.6436,17239.43109,21506.48917,47298.73289,82467.38956,38793.87002,22548.47322,17237.75015,23573.36809,33765.82359,48575.64665,40816.27986,26877.99139,40240.09988,73279.88685
3,DAFOCGYVTAOKAJ-UHFFFAOYSA-N,beta.-Phenyl-.gamma.-aminobutyric acid,6.17_180.10,538.5578576,528.8649271,658.7325875,672.0920664,591.6858143,1060.045691,591.5872618,509.0466439,359.3643559,536.3618072,653.9874912,398.3838349,536.8973954,332.1179433,835.0270525,458.0800099,554.0426498,576.5467308,785.0479645,563.7788952,1055.984826,784.7171405,598.6527164,586.2405546,628.94189,796.1370558,623.983259,799.63619,2569.407702,1277.523807,639.3304418,747.0025258,553.5608866,608.8701653,483.6926819,687.2259066,369.1141476,761.9197816,1214.761352,991.3447408,529.6892785,1062.004125,681.9900645,730.3604129,395.2795718,312.4214716,367.2747634,460.3987082,448.3521533,674.4438596,438.4123994,505.9743811,516.5708704,680.4107695,611.2233401,664.0072212,700.2278006,557.0784454,660.9793502,456.6108653,432.5948983,545.1800166,522.5748524,316.1703666,573.4082451,617.1254064,549.6453146,756.8559679,752.9577501,450.1808309,917.2732069,397.7243272,632.8367047,666.1258159,468.1300092,416.0512917,531.1676339,550.1897316,685.4725712,590.7580343,597.2908693,630.213072,662.2861103,812.3907687,586.5643132,539.5390114,653.1361471,707.8125786,581.3844444,1119.931189,1444.95902,474.054184,704.643445,1118.808866,444.4138851,722.2501809,309.3271786,1338.895463,639.1298894,604.6758861,1198.617413,524.3114369,392.0674823,339.2005437,340.7488563,661.9117173,498.840603,556.8361048,534.2816714,618.3500511,475.6847589,822.1697926,381.9636067,848.4911642,337.2773975,722.3453934,972.4009176,628.0108184,780.5473356,1274.74605,552.3750557,727.8886202,613.8369217,805.3958277,787.6323972,618.1382505,577.9215615,579.0152936,683.1888761,732.6615099,631.3341847,734.988943,1077.245026,930.3457457,505.457626,959.7414334,484.4487001,497.4755868,692.5950477,699.3181595,1034.277281,354.7376992,362.2904402,804.607816,348.7321065,556.7400298,797.769699,553.1129762,413.0826908,1595.802899,934.5505246,1373.655644,671.9388211,657.9034344,559.4864032,693.1880138,794.4049431,682.8804581,928.6258068,651.4011814,574.2352895,426.0905129,938.1896398,677.9102056,737.3829715,25240.47567,700.0555085,646.8816479,759.806519,573.9054741
4,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,epsilon.-Caprolactam,1.36_114.09,15983.38019,19131.42253,14670.04469,11109.7365,14609.86795,13894.32359,15180.64356,11531.58152,9988.015007,11717.31281,13411.48261,9868.066363,9849.084443,10264.02596,20219.74977,12789.20402,18450.16699,12191.74587,22063.16825,18053.84266,25011.43391,22127.37628,16635.78478,18451.26945,13094.65318,17427.14726,17307.91349,17917.54466,33491.88328,64582.71658,40485.82965,34760.21933,19473.24442,48463.16578,30640.79388,38543.13808,19781.58009,32072.77818,69665.85314,53788.31169,31761.09034,36561.12778,31439.36518,34727.212,17719.7244,23251.64408,29701.11411,30337.06811,33456.73437,30275.36706,32862.27411,24605.16393,30777.29246,33694.38107,47586.30993,52214.08801,36035.96033,26698.95377,34514.84913,32400.38993,50650.63457,46511.12448,30566.91388,18033.51293,37850.87599,12954.0233,31700.05926,36491.9697,118993.7772,83228.03189,107967.0575,59247.69323,84742.09944,52057.87546,118779.8248,72372.47779,78483.32118,64779.5096,119892.0696,100462.5877,115700.0518,32161.63774,126815.0771,172832.6937,109924.9155,84938.38147,89055.31319,83210.98743,85380.61423,101345.7445,66074.98191,61845.76202,61778.20178,57633.71181,115613.519,18394.54166,16390.96905,94391.62338,14876.65112,73698.74691,87454.24239,105960.4815,53034.50459,39060.30547,97194.34263,93594.96155,191836.1888,170488.3923,201786.484,177228.9527,124052.1953,250637.4724,15921.64626,160277.249,93788.01219,206768.5906,148484.3236,182257.7111,248616.7471,207933.8483,122439.6529,302311.6307,168641.1031,269174.0417,205052.9343,177359.6714,213097.3288,92955.27988,181140.7518,98266.60694,111487.4072,178235.4784,176516.4597,129006.5543,98227.5779,117039.7864,85850.41296,141877.7381,131830.1848,208878.3596,113159.1587,83084.41359,91213.52472,191730.6801,82267.92952,122093.5604,217802.2521,118428.9758,63271.90048,164395.3527,149659.0848,139832.781,123009.7333,126506.5121,200025.9123,135072.134,88580.3703,90810.97162,153787.5037,93333.94563,79736.84616,58058.38313,67942.74365,93345.53505,88127.56374,86906.27116,112145.1871,80800.11316,59163.89374,84405.09794
5,GGNQRNBDZQJCCN-UHFFFAOYSA-N,1_2_4_benzenetriol_PM_a1,10787,325.0,707.0,692.0,2543.0,440.0,871.0,599.0,380.0,445.0,362.0,285.0,458.0,371.0,529.0,338.0,340.0,351.0,279.0,684.0,1776.0,1825.0,737.0,786.0,592.0,853.0,1667.0,325.0,756.0,905.0,750.0,272.0,881.0,1180.0,3185.0,739.0,1148.0,460.0,604.0,347.0,493.0,350.0,881.0,525.0,3267.0,234.0,5655.0,1109.0,279.0,669.0,1307.0,498.0,506.0,513.0,491.0,357.0,387.0,1213.0,452.0,399.0,664.0,651.0,342.0,447.0,1020.0,488.0,659.0,579.0,891.0,1456.0,603.0,386.0,1391.0,385.0,758.0,1339.0,411.0,2479.0,1161.0,605.0,405.0,541.0,1241.0,810.0,2601.0,620.0,1645.0,2173.0,1403.0,678.0,1471.0,726.0,684.0,537.0,1212.0,1303.0,592.0,960.0,2136.0,549.0,614.0,1819.0,377.0,778.0,681.0,612.0,1866.0,613.0,382.0,2544.0,1569.0,584.0,2234.0,389.0,1144.0,678.0,411.0,476.0,310.0,816.0,1260.0,1086.0,777.0,464.0,305.0,562.0,2176.0,816.0,2164.0,6968.0,306.0,1705.0,421.0,621.0,1330.0,687.0,1061.0,450.0,496.0,3601.0,409.0,1925.0,558.0,959.0,540.0,1244.0,610.0,326.0,532.0,5153.0,2063.0,762.0,509.0,6594.0,461.0,603.0,1049.0,475.0,1203.0,598.0,8472.0,414.0,411.0,543.0,371.0,627.0,563.0,1107.0,559.0,5133.0,530.0
6,HOVAGTYPODGVJG-UHFFFAOYSA-N,1_methylgalactose_NIST_PM_a1,2108,2192.0,9832.0,3449.0,2562.0,4568.0,3013.0,1968.0,3427.0,3057.0,87848.0,2556.0,3887.0,2225.0,2713.0,5248.0,3992.0,4659.0,27120.0,1804.0,5784.0,8641.0,3527.0,19665.0,110111.0,3736.0,6474.0,3890.0,4571.0,9300.0,2727.0,4392.0,3114.0,1018.0,1930.0,13191.0,3699.0,5305.0,6625.0,2080.0,1993.0,2229.0,1959.0,6035.0,5743.0,2010.0,11711.0,5362.0,94890.0,6495.0,3560.0,2612.0,3210.0,2584.0,3404.0,6127.0,1851.0,2100.0,2756.0,2185.0,3992.0,3962.0,1947.0,2661.0,3423.0,2269.0,4065.0,2229.0,15167.0,2979.0,3903.0,2667.0,3472.0,1814.0,3130.0,3324.0,3918.0,19534.0,2561.0,2728.0,7710.0,8427.0,3991.0,2692.0,4469.0,5167.0,9282.0,3202.0,9492.0,3325.0,9507.0,4493.0,3214.0,7211.0,2641.0,5576.0,3648.0,5017.0,3241.0,2235.0,2722.0,4226.0,1907.0,6022.0,4348.0,2960.0,3935.0,1979.0,3881.0,4283.0,2278.0,14067.0,2966.0,3520.0,2769.0,44751.0,3196.0,5334.0,6642.0,15415.0,2361.0,2437.0,6415.0,2868.0,7950.0,1456.0,1123.0,5067.0,16753.0,2039.0,4387.0,5628.0,2667.0,2823.0,9895.0,3529.0,1845.0,3322.0,3427.0,2309.0,1742.0,1215.0,3412.0,7395.0,2346.0,3129.0,3820.0,1529.0,68813.0,5255.0,1861.0,6267.0,4810.0,3938.0,7146.0,3599.0,3886.0,2526.0,1449.0,3796.0,1354.0,1922.0,23909.0,3827.0,6586.0,2708.0,2179.0,3455.0,2248.0,12620.0,1603.0
7,QWCKQJZIFLGMSD-UHFFFAOYSA-N,2_aminobutyric_acid_PM_a1,6657,5789.0,6572.0,3787.0,6987.0,6076.0,5726.0,5593.0,4424.0,4098.0,5631.0,10646.0,6312.0,5927.0,6366.0,5227.0,8240.0,7976.0,5975.0,6241.0,7998.0,8384.0,5942.0,7306.0,1843.0,4392.0,5313.0,7412.0,7987.0,6318.0,6224.0,14209.0,9973.0,3299.0,7140.0,4574.0,6378.0,4896.0,8002.0,5309.0,7391.0,7501.0,5280.0,9476.0,4192.0,10433.0,4670.0,5677.0,8680.0,4305.0,7239.0,10440.0,5117.0,10319.0,4527.0,6333.0,7846.0,5614.0,5489.0,6618.0,3525.0,5403.0,7074.0,4228.0,9284.0,4642.0,6471.0,7854.0,5825.0,5073.0,6413.0,4823.0,7347.0,10472.0,4080.0,6475.0,5298.0,6479.0,7929.0,7725.0,5142.0,9899.0,3695.0,5887.0,6386.0,5710.0,10394.0,5800.0,5886.0,8211.0,5359.0,4241.0,7101.0,6349.0,5887.0,9020.0,5812.0,5363.0,5409.0,10807.0,12417.0,5989.0,11516.0,6148.0,3433.0,9385.0,7629.0,3453.0,8688.0,6530.0,6597.0,2975.0,5422.0,4914.0,8241.0,10499.0,4755.0,7633.0,8795.0,5343.0,2513.0,6212.0,6876.0,3654.0,9278.0,7133.0,5376.0,4735.0,6127.0,5616.0,5689.0,6725.0,6951.0,4197.0,8736.0,10573.0,8072.0,4836.0,5075.0,11611.0,7432.0,2782.0,6945.0,5394.0,5745.0,4352.0,14875.0,5103.0,10423.0,4151.0,7295.0,5745.0,3665.0,7301.0,5790.0,3590.0,7985.0,5528.0,14178.0,10093.0,6830.0,15144.0,7775.0,3622.0,7797.0,7012.0,5704.0,8060.0,8382.0,5675.0,6080.0
8,UFYGCFHQAXXBCF-UHFFFAOYSA-N,2_deoxytetronic_acid_PM_a1,192742,2958.0,1519.0,2722.0,3301.0,1918.0,2359.0,3239.0,2616.0,2304.0,2396.0,3866.0,4758.0,3193.0,4111.0,803.0,3189.0,531.0,3084.0,1602.0,10457.0,4050.0,3067.0,3779.0,4766.0,3734.0,2815.0,4220.0,3899.0,2789.0,4232.0,3474.0,4717.0,1369.0,3899.0,5384.0,1981.0,4040.0,2147.0,2888.0,4049.0,3500.0,2227.0,6968.0,2927.0,3740.0,1421.0,2264.0,11247.0,2490.0,3601.0,6631.0,6282.0,2110.0,3935.0,3966.0,3494.0,739.0,3377.0,1909.0,3028.0,2726.0,3848.0,3877.0,3124.0,2703.0,3453.0,3344.0,4340.0,2732.0,4873.0,2320.0,4140.0,3598.0,2517.0,5078.0,3520.0,6681.0,6712.0,3126.0,3316.0,2471.0,1980.0,3773.0,2236.0,1516.0,7335.0,3597.0,1384.0,7503.0,3809.0,4366.0,1287.0,3929.0,4635.0,3473.0,4067.0,4036.0,3678.0,4714.0,8095.0,3347.0,1488.0,8750.0,1166.0,4066.0,4619.0,3557.0,5444.0,4378.0,3780.0,4506.0,4404.0,5605.0,4828.0,6126.0,2674.0,4450.0,9781.0,2991.0,930.0,1949.0,3571.0,4693.0,4780.0,4741.0,1718.0,2284.0,4001.0,3420.0,1148.0,4082.0,1016.0,3642.0,8662.0,1852.0,7497.0,5645.0,3166.0,2523.0,2135.0,1856.0,3875.0,1673.0,638.0,4241.0,6041.0,3162.0,4014.0,3085.0,3172.0,6863.0,3254.0,3769.0,3396.0,3064.0,1624.0,3325.0,10232.0,5307.0,3269.0,6382.0,3575.0,2093.0,3335.0,4002.0,5711.0,6296.0,6557.0,4045.0,3021.0
9,AFENDNXGAFYKQO-VKHMYHEASA-N,2_hydroxybutanoic_acid_PM_a1,440864,29839.0,13902.0,11371.0,24431.0,13589.0,12130.0,10313.0,36720.0,2894.0,26177.0,32853.0,42381.0,42226.0,24590.0,14144.0,28267.0,43364.0,107383.0,25655.0,26266.0,29738.0,18478.0,29160.0,22741.0,18078.0,6522.0,13892.0,25958.0,24242.0,34123.0,33439.0,94319.0,22768.0,76703.0,32825.0,33720.0,23507.0,10311.0,10852.0,23818.0,17320.0,18248.0,80523.0,40410.0,31029.0,25469.0,38099.0,47522.0,18679.0,46966.0,54155.0,19239.0,46241.0,24687.0,38632.0,18128.0,6732.0,33043.0,40166.0,20175.0,43854.0,41805.0,15757.0,46784.0,39681.0,23986.0,69693.0,31154.0,12502.0,44477.0,39354.0,23837.0,55979.0,18900.0,36877.0,24176.0,56990.0,84938.0,25447.0,30840.0,49118.0,27498.0,34081.0,21440.0,17490.0,41728.0,31253.0,39681.0,35501.0,32576.0,25196.0,35636.0,24535.0,97703.0,54954.0,44726.0,17539.0,33283.0,83642.0,92793.0,32785.0,58861.0,41173.0,33185.0,71874.0,48106.0,33868.0,46173.0,30003.0,33887.0,17684.0,65734.0,47020.0,53700.0,50585.0,57280.0,47274.0,49236.0,15948.0,13279.0,27386.0,13345.0,28162.0,51806.0,47931.0,20518.0,14533.0,8791.0,30702.0,29621.0,22246.0,59050.0,15104.0,40619.0,41811.0,45499.0,45925.0,21344.0,57159.0,24407.0,14070.0,23810.0,22083.0,49629.0,16859.0,21737.0,17317.0,13406.0,33401.0,21257.0,13928.0,43372.0,49058.0,52754.0,22139.0,26761.0,24619.0,95645.0,68787.0,31882.0,54923.0,10056.0,24561.0,38273.0,35411.0,47276.0,38657.0,58190.0,37364.0,38972.0
