,CFS10,CFS11,CFS12,CFS13,CFS14,CFS15,CFS16,CFS17,CFS18,CFS19,CFS1,CFS20,CFS21,CFS22,CFS23,CFS24,CFS25,CFS26,CFS27,CFS28,CFS29,CFS2,CFS30,CFS31,CFS32,CFS33,CFS34,CFS35,CFS36,CFS37,CFS38,CFS39,CFS3,CFS40,CFS41,CFS42,CFS43,CFS44,CFS45,CFS47,CFS48,CFS49,CFS4,CFS50,CFS5,CFS6,CFS7,CFS8,CFS9,HV113,HV142,HV168,HV195,HV202,HV209,HV212,HV214,HV245,HV249,HV254,HV349,HV350,HV355,HV362,HV368,HV389,HV396,HV398,HV406,HV407,HV409,HV412,HV414,HV427,HV428,HV436,HV439,HV440,HV445,HV446,HV447,HV455,HV460,HV464,HV468,HV469,HV479,HV480,HV491,HV499,HV503,HV508,HV514,QFS10,QFS11,QFS12,QFS13,QFS14,QFS15,QFS16,QFS17,QFS18,QFS19,QFS1,QFS20,QFS21,QFS22,QFS23,QFS24,QFS25,QFS26,QFS27,QFS28,QFS29,QFS2,QFS30,QFS31,QFS3,QFS4,QFS5,QFS6,QFS7,QFS8,QFS9
Bacteroides_uniformis,0.10550055841997147,0.161183,0.02667382920393938,0.08851003175226232,0.2346429,0.2699994,0.017633691887833265,0.0444521,0.03869119947040592,0.0301832901336985,0.022289703403764155,0.0,0.006481603129669879,0.0016286055525844467,0.019446087781214056,0.2847715,0.1781820080170338,0.0084366003995828,0.019494987865284804,0.0353651,0.019668936455868834,0.0213825004542205,0.10603473753411982,0.044080318007582296,0.08269844973320101,0.06825788861070563,0.10615232975054702,0.023059715696167396,0.0615804971855172,0.0150486,0.07173770968529476,0.04638274977249593,0.005536935676260501,0.002155476983535756,0.20396984552044972,0.1057983019919031,0.09893505971992246,0.2139314998952375,0.2225428763824819,0.1142527,0.02853582153579222,0.1436830999999999,0.01256326020616424,0.055521652219444474,0.0442149,0.00919610793435798,0.020439382445600392,0.00016156896631577293,0.035041814157818395,0.0027651999689501,0.0015758000885984,0.0117885994502316,0.0173086005447524,0.0,0.0133901995958285,0.0139064001488902,0.0092990002417568,0.0001185999982038,0.0078856996134523,0.0073017000386882,0.0082296997282043,1.199999980399635e-06,0.004160196862446495,0.010037138598226563,0.0177321995865601,0.0047510651520594,0.0244468012013503,0.0,0.0015965000225302,0.0377903998256236,0.0007810000387734,0.0052712998427987,0.013510657994766041,0.0288125991551867,0.0016900999204348,0.0242888008641705,0.0038922042394215002,0.0317099005718511,0.0,0.016830270245841605,0.0400847008610228,0.0,0.0019444999829614,0.020171401125532,0.0352198008768643,0.0096927995124287,0.006828806865824047,0.0,0.0099642004307707,0.0017207999922108,0.007045500242965,0.0008760000087687,0.0,0.0121047999766667,0.1097682956046983,0.0987626993838289,0.036885401506103,0.0180376997939126,0.1571722950835015,0.0173856001083325,0.0062790001024629,0.0150364999582014,0.1821643,0.2292095,0.0709892982287204,0.0251832002237098,0.0498838985998919,0.17908,0.0267305007728737,0.0150367993070008,0.0627141,0.0200479995659959,0.01235,0.1316633999999999,0.1060644000821319,0.1341247982425093,0.0032043001006963,0.0620491034929481,0.0257884000575583,0.0103479000836653,0.0181813997128496,0.0335122000768642,0.0310175985003251,0.0155276004327301
Alistipes_putredinis,0.09366803232353818,3.57e-05,0.0,0.08073986329245635,0.1141911999999999,0.0330438,0.06344043329678267,0.1553585999999999,0.04706967862931136,0.10483529754744356,0.0,0.0,0.041469652535572776,0.0,0.06321318392462044,0.0,0.0462261020798745,0.0807083038225884,0.013745526795229949,0.0816116,0.09668522024156778,0.0908625019301586,0.024633402416034636,0.03788306653443728,0.06963048945620995,0.05277916807960301,0.11769966377868717,0.06955338750606778,0.1621672925882856,0.0852107,0.13003611199780998,0.098030277385009,0.0157480679148719,0.053186575346089796,0.0007876333780134612,0.0902284016987629,0.1203143416064336,2.369999998839332e-05,0.03766043131018308,0.1932294,0.058138174787923706,0.000807,0.032736189399710236,0.04263932728348508,0.1799458,0.050541169968932737,0.11796233900982211,0.05455655427527524,0.0,0.01672839981216,0.0064886003648177,0.0262739987746963,0.0,0.0335886012658844,0.0199658993973468,0.0139834001497146,0.0360728009378264,3.699999943964556e-06,0.0155803992362673,0.01270920006734,0.0232014992337429,5.18999991522938e-05,0.029979584242003646,0.006824437690177375,0.0178469995838834,0.0002495829620080677,0.0,0.0,0.0064797000914431,0.0274612998732852,0.0,0.0076058997731761,0.014231559347348507,0.0282850991706535,0.0080692996201198,0.0258554009199085,0.022675621342015853,0.0442233007975157,0.0075550965873289995,0.00621572635707376,0.0410404008815513,0.0011464519321650478,0.0005303999953524,0.0134050007479777,0.0274228006827431,0.0559507971855395,0.020670048201119604,0.0,0.0209372009051537,0.0217576999015147,0.0032613001124663,0.0035430000354653,0.0,0.031315599939636,0.1151191953904396,0.0573513996421901,0.3336730136245216,0.061422599298224,0.0,0.0601420003747547,0.0,0.0008152999977336,0.1393169,0.0206963,0.1015609974659149,0.0366496003255693,0.0077973997811477,0.1134018,0.0814791023558503,0.1046277951780312,0.1186369,0.1286481972149922,0.1326665,0.2053368,0.0787824000610058,0.0560426992656501,0.0595369018709704,0.0,0.0,0.0901700007290471,0.0572654990955698,0.0343089000786915,0.0753853963551793,0.070631301968385
Phocaeicola_vulgatus,0.09302921757501799,0.2013326,0.0044365582498219385,0.04024046111880764,0.2024688,0.0401375,0.021865768163037036,0.0020313,0.0,0.12497814161974541,0.0,0.0402218004803907,0.001192351607458824,0.0026354757145408084,0.0,0.0905394,0.0,0.0159129007536829,0.0,0.0001007,0.007581920867526727,0.0045451000965498,0.0261597631242759,0.0012614277083842352,0.0,0.0008381043292466913,0.003998045562437105,0.008926109624556155,0.0,0.0076022,0.0,0.001013676388020344,0.0007437556634866121,0.0,0.003335923074635978,0.0,0.09289976902385061,0.1055214999483259,0.008049965866324732,0.0960494,0.008866078175438202,0.0210204,0.0,0.019696437593767654,0.0491719,0.02875381552038225,0.002663469030558053,0.006907746429406221,0.0285075899285281,0.0115254998705824,0.0003201000179974,0.0107178995001643,0.0210881006637044,0.0352925013301009,0.0,0.0155263001662338,0.004623600120205,0.0001646999975057,0.028114898621841,0.026264300139162,0.0140554995358004,6.939999886645754e-05,0.0035808504559912352,0.003444978679520867,0.0170420996026503,0.007741060933539531,0.0,0.019678368553653954,0.0062896000887604,0.0201172999071726,0.0007055000350251,0.0100812996993545,0.0,0.1414439958527251,0.0015161999286215,0.0059155002104674,0.012876180162101014,0.0331623005980434,0.023456753982614285,0.02346897712011508,0.0189822004077392,0.013919148434269595,0.0021495999811643,0.0162611009073435,0.0194122004833039,0.0054373997264856,0.0,0.004916095950243648,0.0217331009395619,0.0039024999823355,0.0013890000478998,0.0027246000272731,0.0194687999724894,0.0951175998166512,0.121185195147547,0.0,0.0560299022878104,0.0035944999589315,0.0090985997153871,0.000172200001073,0.00183720002998,0.0238768999336268,0.0580384,0.4161032,0.0219315994527767,0.0206461001834054,0.0098664997230736,0.0268138,0.06514350188353,0.0218279989940156,0.0352509,0.0078636998297646,0.0236424,0.0867667,0.0987431000764626,0.0320891995795224,0.0033692001058784,0.0479948027017852,0.0093339000208327,0.0443675003587223,0.033723399467385,0.0432694000992435,0.0167884991882901,0.0339939009473573
Prevotella_copri_clade_A,0.0,0.0,0.0036910148438608894,0.01416010827950327,0.0,0.0,0.0,0.0,0.0,0.0021703243832661904,0.0014365598392373261,0.0,0.25676542733122554,0.0,0.0,0.0,0.0,0.0,0.010630669708310485,0.0,0.0,0.0005856000124396,0.0,0.0,0.0,0.0,0.0,0.0018400329155718325,0.0,0.4673707,0.0,0.0,0.0046213048061197705,0.0,0.0,0.0,0.0,0.0002356999998845,0.0,0.0,5.4843675604369856e-05,0.0,0.0025213034251338395,0.0,0.1340876,0.0017515680333699106,0.0069476627867283685,0.0,0.013420919763976488,0.0,0.0994830055933736,0.0,0.0,0.0,0.0031020999063658,0.0,0.1905526049540171,0.0900159986367587,0.0,0.0,0.0,0.0574198990621349,0.0,0.0030666924645651778,0.0,0.022192379825814804,0.0,0.007923200371119446,0.3795703053565933,0.0,0.0018986000942577,0.0,0.0,0.037677098895271,0.0,0.0,0.0029453888657165438,0.0,0.001486033142262512,0.004600205788991372,0.0217357004668847,0.0,0.0011234999901554,0.0571920031912227,0.0,0.0,0.0,0.0078585617413623,0.0,0.0,0.033577601157928,2.780000027827625e-05,0.1038847998532048,0.0,0.0,0.0,0.0,0.0001527999982542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1200245034703348,0.0,0.0,0.0039913999135931,0.3072299,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313811000719762,0.0,0.0
Alistipes_onderdonkii,0.0,0.0,0.0870036,0.0,1.05e-05,0.0147334,0.0,0.1365913,0.0644308013531068,0.069473,0.0330900015736694,0.0,0.0216803,0.0041302,0.28977,0.0262872,0.0780937035137098,0.0041893001984178,0.0254465995388013,0.0110602,0.0,0.0146578003113702,0.2553243,0.0683111019429063,0.0084696000220671,0.0132793000304941,0.0169533,0.0003644999919497,0.0590956972990828,0.0,0.0119196005771411,0.0,0.0136450999999999,0.0006613999866107,0.0644385984979195,0.1347964025378609,0.0597862,0.0289328999858315,0.0,0.0382333,0.0695510969866287,0.3073993,0.0024631000370442,0.0405352019391571,0.0174774,0.0608570985342759,0.0016992999499683,0.00054700000943,0.0,0.0062451999298738,7.150000402004503e-05,0.0137530993586159,0.0013398000421674,0.0080821003045975,0.0043687998681316,0.0027827000297932,0.0093289002425342,0.0,0.0124156993913971,0.0007800000041328,0.0325585989247136,0.0001290999978913,0.0028911000948977,0.0298519004962383,0.009073899788435,0.0040259998778351,0.0,0.0045204998204902,0.0,0.0700367996768289,9.1600004547565e-05,0.0004488999866128,0.0164536995903667,0.0057632998310144,0.0014017999340071,0.0035467001261879,0.0062957002219649,0.0007759000139924,0.0005060000132405,0.0137814999166342,0.0017991000386448,0.0,0.0,0.0002591000144573,0.0205527005116988,0.0,0.0,0.0011389000024996,0.0073810003190942,0.0075977999656088,0.0014707000507172,0.0006733000067397,0.0100810999857548,0.0143455999723474,9.19999963161684e-06,0.0454548997164112,0.0,0.0667058992378604,0.0,0.0749766004671915,0.0984411016063971,0.0092890999741781,0.2093325,0.009943,0.0579028985552439,1.100000009770761e-06,3.999999887730665e-06,0.0426986,0.0158945004595664,0.0392631981904816,0.1264908,0.1489197967761476,0.0540815999999999,0.0046802,0.072267600055961,0.0012629999834504,0.0,0.028874401625435,0.0,0.0121010000978396,6.8999998910238725e-06,0.0305207000700028,0.0234623988656127,0.0003920000109244
Faecalibacterium_prausnitzii,0.0,0.0270591,0.010878290489707591,0.0037626930145400776,0.0088843,0.01499,0.028951674871301396,0.0014334,0.008970526872287441,0.0,0.02382443640618675,0.0046078000550334,0.03766963307016225,0.01697226189263178,0.0018648577124779095,0.0089765,0.0071708003226394,0.0256161012132557,0.012276668426594283,0.0719142,0.003813634979119449,0.0101264002151113,0.013176004533054524,0.03529172710265179,0.019823117003043827,0.00856975837761957,0.016661991059202786,0.020144817833713746,0.0,0.0088446,0.007612996101957595,0.0305735561962474,0.0,0.038783991021418995,0.0,0.0160639003024408,0.0075861570936366475,0.0115811999943286,0.002035316972510961,0.0077406,0.0017011019608844514,0.0057824,0.0008215620387554213,0.0,0.010282,0.0,0.003793137093613157,0.0,0.01149097804310402,0.0211314997627185,0.0236057013272167,0.0253037988199422,0.0506643015945542,0.0489687018455284,0.0201750993910323,0.0343390003676539,0.0701054018226114,0.0170884997412043,0.0616348969787305,0.0512055002713135,0.0628308979249349,0.0052716999138949,0.03795392787002118,0.031070747102903567,0.0224391994768128,0.015814338776351987,0.0318879015670165,0.02543388975519315,0.0668235009430303,0.0694283996796363,0.0103805005153494,0.0702202979058834,0.03146761001124158,0.0259739992384172,0.0196977990726825,0.0059963002133421,0.030208682630922818,0.0603113010876441,0.054953394614874126,0.03445553635680333,0.038211300820782,0.021224036558374893,0.0454476996017682,0.0410664022914399,0.0181167004510499,0.0507459974473535,0.02993326473138031,0.014527106553518803,0.063698702753812,0.0132356999400891,0.0377087013003895,0.0626642006272663,0.1104100998439841,0.0206121999602679,0.0402421983886367,0.0308899998072802,0.0138943005673314,0.0739857991546848,0.0042328998675908,0.0109232000680642,0.0181223002957261,0.0479270998667719,0.0425000999999999,0.0,0.0592365985219662,0.0444874003951948,0.014797199584682,0.0175521,0.0505813014624851,0.0037689998262985,0.1185065,0.0259380994384856,0.018059,0.0120432,0.0260059000201379,0.0115443998487291,0.0086394002714965,0.0255044014357266,0.0608220001357514,0.0239455001936053,0.0220695996514408,0.0146601000336246,0.0147220992881988,0.0410792011448137
Clostridia_bacterium,0.0015642,0.0091337,0.0127351,0.0004721,0.0024798,0.0040424,0.0106816999999999,0.0039871,0.0154021003234584,0.004873,0.0140962006703765,0.011756900140419,0.0071703,0.0880620999999999,0.0086156,0.0034512,0.1567540070529129,0.0238074011275902,0.0312861994329633,0.0424052,0.0167920994171162,0.149752303181133,0.0039514999999999,0.0201261005724271,0.0243336000634001,0.0763583001753466,0.0136257,0.0085319998115648,0.0116156994691146,0.0025691,0.0130865006336418,8.68e-05,0.001972,0.0425211991392103,0.0021219999505356,0.0427735008053122,0.0019828,0.0002781999998637,0.0005917,0.0059431,0.0119090994840262,0.0050495,0.0396680005965945,0.0724915034679095,0.007991,0.0362036991280452,0.0074462997807621,0.0963253016606129,0.0009401,0.0780759991232998,0.0542367030494268,0.0164626992322521,0.0007100000223457,0.0080917003049593,0.1153382965186147,0.0483506005176705,0.0301408007836053,0.0335781994914772,0.0106269994790771,0.0240628001274973,0.0125445995856997,1.329999978276502e-05,0.0105777003472035,0.0351808005848224,0.0039577999077208,0.0115113996506982,0.0156170007674414,0.0202519991957898,5.640000079593016e-05,0.017301199920167,0.0543437026979427,0.0440470986864231,0.0271875993231343,0.010700599686248,0.0742387965050443,0.0412237014666968,0.0056361001987096,0.0115729002087037,0.0026019000680839,0.0200433998787552,0.0210998004532255,0.0,0.0711305993767239,0.0619327034557462,0.0257986006423055,0.013104199340827,0.0,0.0462330001014702,0.0681632029468206,0.0265608998797732,0.0440510015191045,0.0024611000246355,0.0081019999885513,0.0302282999417318,0.0099105996031634,0.0115870999277091,0.0011331000462666,0.0454339994808997,0.0043142998650446,0.0631217003933217,0.05341040087157,0.0575327998400699,0.0045243,7.71e-05,0.0134826996635882,0.0894522007946305,0.0297188991658697,0.0081876,0.0153139004427792,0.0074552996564084,0.0077502,0.0466517989900703,0.054992,0.0015429999999999,0.0062466000048371,0.0944049987629736,0.0802384025215232,0.0044124002483885,0.0076043000169723,0.0977895007906526,0.0254539995979889,0.0518723001189752,0.0266749987102861,0.0096254002682449
Bifidobacterium_adolescentis,0.008738249132327748,0.0,0.0,0.005188466065956325,0.0005407,0.0,0.016251268818312223,0.0,0.01906365891867784,0.01280546363195113,0.0072207692186464344,0.0,0.0065249528635388954,0.004958261915248932,0.0,0.0,0.0,0.0010006000473914,0.007316694906817983,0.0092631,0.0,0.000243100005164,0.009210680435929349,0.0,0.0,0.0,0.004396375172599062,0.0,0.0,0.0002448,0.00223420802006484,0.012140303343263072,0.002354624422113801,0.0,0.0012620316847219827,0.001019000019185,0.0016531948108552685,0.0,0.008443204501565557,0.0005441,0.0,0.0039435,0.004591257930008069,0.0,0.0004234,0.0007685877180035234,0.00996979478918,0.0,0.00032647890995134697,0.0364751995904271,0.0186509010486359,0.124725194183366,0.0,0.0298712011257833,0.0,0.0307984003297461,0.0321190008350349,0.0230017996516508,0.0450762977904134,0.0271842001440361,0.034264898868361,0.6190915898880982,0.027045438361824155,0.01669472471350843,0.0713771983357857,0.014313841396296777,0.0,0.018118687071016385,0.0686877009693384,0.0264891998777707,0.0175827008729092,0.0327227990241375,0.0202671442020408,0.0044809998686127,0.0241885988612681,0.0088408003145465,0.040169986424877416,0.023733500428006,0.026397134402482664,0.021295391087149704,0.0108106002322126,0.02068409519720497,0.0761623993326332,0.0072863004065639,0.0783505019506858,0.01729399913007,0.03376027553514509,0.012263232854822208,0.0120813005222968,0.0036476999834888,0.031800401096641,0.1094054010951441,0.0366831999481645,3.4999999932533525e-05,6.92999972251149e-05,0.0005963999962791,0.0,0.0,0.0006782999787821,0.0,0.0004091000066758,0.005141699985707,0.0011323,0.0,0.0,0.0,0.0,0.0106869,0.0029312000847514,0.0031027998570016,0.0026458,0.0065624998579333,0.0,0.0006406,0.0009898000007664,0.0043393999431391,0.0014729000462864,0.0008716000490652,0.0022302000049776,0.0003142000025403,0.0014097999777341,0.0005802000013307,0.0004660999774644,0.0
Eubacterium_rectale,0.0012448,0.0023861999999999,0.0020635,0.0060901,0.0021226,0.0035037,1.16e-05,0.0002324999999999,0.0039151000822207,0.0023122,0.0064789003081186,0.0143051001708535,0.0005995,0.0062492,0.0007398,0.0016748,0.0079334003569515,0.0084098003983134,0.0212636996146129,0.0103014999999999,0.0280641990258415,0.0024823000527305,0.0007167,0.0095200002707681,0.0017474000045527,0.0020039000046016,0.0101094,0.014686199675645,0.0070093996796415,0.0089415,3.14000015203724e-05,0.0036279,0.0008999,0.0002280999953823,0.0009896999769298,0.0015805000297566,0.0034825,0.0244324999880353,0.0016095,0.0137101,0.0203752991172196,0.0125548,0.0016754000251975,0.014776800706905,0.0012356,0.0006084999853444,0.0002699999920505,0.0034882000601352,0.0019699,0.0077452999130295,0.0114166006418916,0.0397527981461045,0.0571956018001134,0.0,0.0128904996109115,0.0295496003163757,0.0322409008382041,0.0066274998996302,0.052243697439076,0.0622850003300185,0.0951293968582387,0.0011103999818633,0.0579328019015922,0.0532708008855387,0.0645150984957808,0.0737736977614118,0.1086231053378929,0.0003440999863357,0.0027672000390514,0.0465759997850842,0.0095863004759206,0.0154869995381451,0.0756251981172262,0.0085178997502469,0.0503247976308487,0.0227337008088416,0.0506245017848472,0.0871201015711096,0.0,0.03115499981154,0.0067036001439939,0.0,0.0064099999438329,0.0336213018760151,0.0033046000822743,0.064979796731359,0.0644840000754152,0.0184289000404469,0.0239803010367125,0.0015284999930813,0.0106305003665942,0.1270970012722364,0.0008562999987899,0.0067515999869856,0.0163756993442902,0.0,0.0042266001725803,0.0,0.0708136977848803,0.0,0.0001268000020691,0.0096093999732877,0.000955,0.0049241,0.0,0.0026394000234465,0.0093838997366189,1.53e-05,0.0061501001778212,0.0032327998510103,0.0082281,0.0121127997377791,0.0012038,0.0113739,0.047683400036924,0.0035498999534842,0.0023556000740256,0.0156455008807367,0.0032598000072756,0.0287608002325383,0.005283899916548,0.0086533000198473,0.0017353999160948,0.0025729000717027
Alistipes_shahii,0.0,0.0,0.04246833913292503,0.04140313543854407,0.0562546,0.0231657,0.06149603499865936,0.0330625,0.0064797835407262505,0.0,0.014616336028837305,0.0,0.01237967815346014,0.09792053532287835,0.0,0.0,0.0072179003247586,0.0665428031516676,0.02414336744070848,0.0267673,0.06563507804015382,0.1097248023308435,0.007749437743524325,0.0037953164790944147,0.001980888301688556,0.04192399844852819,0.0,0.055740050092017414,7.799999643507565e-06,0.0,0.0,0.005234893823537023,0.009221840344742688,2.8012554874164108e-05,0.0024230067682556233,0.0072862001371799,0.014503514817311202,0.0793307999611516,0.003826017460663849,0.0,0.0,0.0074643,0.029575017086028346,0.008238956009591656,0.0155149,0.016225931670643935,0.08927340200638982,0.05474481573053298,0.0,0.0070529999208032,0.0006162000346454,0.0,0.0008119000255528,0.0,0.0031685999043585,0.0027812000297771,0.0007664000199249,0.0001814999972512,0.0013637999331481,0.0004971000026338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00335935012808238,0.0012109000170885,0.0004147999980859,0.0008337000413897,0.0035812998931981,0.0,0.0118203996534144,0.0001021999951887,0.0011207000398733,0.0,0.0081522001470154,0.009241301757960426,0.0,0.001375600029548,0.015192741868593157,8.989999921225746e-05,0.0012276000684981,0.0025235000628273,0.0233871988235673,0.0,0.005301392325321734,0.0008238000356143,0.0054020999755476,0.0019599000675874,0.0011418000114293,0.0013106999981479,0.040960199921045,0.0250220989980743,0.0050732999683481,0.0,0.0624810992861303,0.1448525954688733,0.0146592000913438,0.0052621000858688,0.0113395999684781,3.2000000000000003e-06,0.0133985,0.0214137994656965,0.0335974002984557,0.0226782993634805,0.0153559,0.0219990006360692,0.0163500992464749,0.0332151,0.02223089951874,0.0,0.0200521,0.0213197000165091,0.0357182995319688,0.078885602479011,0.0146299008235652,0.0114310000255133,0.0332902002691596,0.0275349995651223,0.0272531000625082,0.0067670996728164,0.0310154008643511
