0,Orthology,Reaction,Reaction_decode,Pathway,Pathway_decode,Module,Module_decode
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",R08310,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+",map01220,Degradation of aromatic compounds,,
K00002,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]",R05231,6-Hydroxyhexanoic acid + NADP+ <=> Adipate semialdehyde + NADPH + H+,map01220,Degradation of aromatic compounds,M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
K00003,hom; homoserine dehydrogenase [EC:1.1.1.3],R01775,L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+,map01230,Biosynthesis of amino acids,M00018,"Threonine biosynthesis, aspartate => homoserine => threonine"
K00004,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]",R10504,"meso-2,3-Butanediol + NAD+ <=> (S)-Acetoin + NADH + H+",map00650,Butanoate metabolism,,
K00005,gldA; glycerol dehydrogenase [EC:1.1.1.6],R10717,"Propane-1,2-diol + NAD+ <=> Hydroxyacetone + NADH + H+",map01100,Metabolic pathways,,
K00006,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],R00842,sn-Glycerol 3-phosphate + NAD+ <=> Glycerone phosphate + NADH + H+,map04011,MAPK signaling pathway - yeast,,
K00007,dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11],R05604,D-Arabitol + NAD+ <=> D-Xylulose + NADH + H+,map01100,Metabolic pathways,,
K00008,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]",R01896,Xylitol + NAD+ <=> D-Xylulose + NADH + H+,map01100,Metabolic pathways,M00014,Glucuronate pathway (uronate pathway)
K00009,mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],R02703,D-Mannitol 1-phosphate + NAD+ <=> beta-D-Fructose 6-phosphate + NADH + H+,map01100,Metabolic pathways,,
K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],R09951,1D-chiro-Inositol + NAD+ <=> 1-Keto-D-chiro-inositol + NADH + H+,map01130,Biosynthesis of antibiotics,,
K00011,AKR1B; aldehyde reductase [EC:1.1.1.21],R11764,Tetrahydrobiopterin + NADP+ <=> 6-(1'-Hydroxy-2'-oxopropyl)-tetrahydropterin + NADPH + H+,map01100,Metabolic pathways,,
K00012,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]",R00286,UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+,map01100,Metabolic pathways,M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
K00013,hisD; histidinol dehydrogenase [EC:1.1.1.23],R03012,L-Histidinol + NAD+ <=> L-Histidinal + NADH + H+,map01230,Biosynthesis of amino acids,M00026,"Histidine biosynthesis, PRPP => histidine"
K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25],R12885,"3-Dehydroshikimate + NADP+ <=> 3,5-Dehydroshikimate + NADPH + H+",map01230,Biosynthesis of amino acids,M00022,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"
K00015,"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]",R01388,D-Glycerate + NAD+ <=> Hydroxypyruvate + NADH + H+,map01120,Microbial metabolism in diverse environments,,
K00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]",R03104,3-Mercaptolactate + NAD+ <=> Mercaptopyruvate + NADH + H+,map05230,Central carbon metabolism in cancer,,
K00018,hprA; glycerate dehydrogenase [EC:1.1.1.29],R01388,D-Glycerate + NAD+ <=> Hydroxypyruvate + NADH + H+,map01200,Carbon metabolism,M00346,"Formaldehyde assimilation, serine pathway"
